job_id	B 7 8	A 5 4 6	C	O	O	H	B	H	H
73	2.359	124.919	0.660	-0.588	-0.646	0.157	0.725	-0.096	-0.096
74	2.382	124.749	0.661	-0.589	-0.647	0.158	0.726	-0.096	-0.096
75	2.403	124.584	0.663	-0.589	-0.647	0.158	0.726	-0.096	-0.096
76	2.424	124.425	0.664	-0.590	-0.648	0.159	0.726	-0.097	-0.097
77	2.444	124.27	0.666	-0.590	-0.649	0.159	0.726	-0.097	-0.097
78	2.464	124.12	0.668	-0.591	-0.649	0.160	0.726	-0.097	-0.097
79	2.484	123.97	0.669	-0.591	-0.650	0.160	0.726	-0.097	-0.097
80	2.503	123.83	0.671	-0.592	-0.650	0.161	0.725	-0.097	-0.097
81	2.522	123.683	0.672	-0.592	-0.650	0.161	0.725	-0.097	-0.097
82	2.54	123.563	0.674	-0.592	-0.650	0.162	0.724	-0.097	-0.097
83	2.558	123.421	0.675	-0.593	-0.651	0.162	0.723	-0.097	-0.097
84	2.575	123.288	0.677	-0.593	-0.651	0.162	0.722	-0.097	-0.097
85	2.593	123.161	0.678	-0.594	-0.651	0.163	0.721	-0.097	-0.097
86	2.61	123.036	0.680	-0.594	-0.651	0.163	0.720	-0.097	-0.097
87	2.627	122.914	0.681	-0.595	-0.651	0.164	0.719	-0.097	-0.097
88	2.644	122.797	0.683	-0.595	-0.652	0.164	0.718	-0.097	-0.097
89	2.66	122.683	0.684	-0.595	-0.652	0.164	0.717	-0.097	-0.097
90	2.677	122.572	0.685	-0.596	-0.652	0.165	0.716	-0.097	-0.097
91	2.693	122.463	0.687	-0.596	-0.652	0.165	0.715	-0.097	-0.097
92	2.709	122.357	0.688	-0.596	-0.652	0.165	0.713	-0.096	-0.096
93	2.725	122.256	0.689	-0.596	-0.652	0.165	0.712	-0.096	-0.096
94	2.741	122.16	0.691	-0.597	-0.652	0.166	0.711	-0.096	-0.096
95	2.756	122.069	0.692	-0.597	-0.652	0.166	0.709	-0.095	-0.096
96	2.77	121.981	0.693	-0.597	-0.652	0.166	0.708	-0.095	-0.096
97	2.783	121.895	0.694	-0.597	-0.652	0.166	0.706	-0.094	-0.096
98	2.794	121.808	0.695	-0.597	-0.653	0.166	0.704	-0.094	-0.096
99	2.8	121.72	0.696	-0.596	-0.653	0.166	0.702	-0.093	-0.096
100	2.803	121.622	0.697	-0.595	-0.653	0.166	0.699	-0.092	-0.096
101	2.803	121.501	0.698	-0.594	-0.654	0.166	0.697	-0.091	-0.096
102	2.801	121.355	0.699	-0.592	-0.655	0.166	0.695	-0.091	-0.097
103	2.797	121.194	0.700	-0.590	-0.655	0.166	0.692	-0.090	-0.097
104	2.791	121.056	0.701	-0.588	-0.656	0.166	0.688	-0.089	-0.097
105	2.784	120.888	0.703	-0.586	-0.656	0.166	0.685	-0.089	-0.098
106	2.775	120.691	0.704	-0.584	-0.657	0.166	0.682	-0.088	-0.098
107	2.763	120.567	0.705	-0.582	-0.657	0.166	0.678	-0.087	-0.098
108	2.752	120.388	0.706	-0.581	-0.657	0.166	0.675	-0.087	-0.099
109	2.738	120.23	0.707	-0.579	-0.657	0.166	0.672	-0.085	-0.099
110	2.723	120.094	0.707	-0.577	-0.657	0.166	0.668	-0.085	-0.100
111	2.706	119.977	0.708	-0.576	-0.657	0.166	0.665	-0.084	-0.100
112	2.687	119.886	0.708	-0.575	-0.656	0.166	0.662	-0.083	-0.100
113	2.668	119.825	0.708	-0.574	-0.655	0.166	0.659	-0.082	-0.100
114	2.648	119.796	0.708	-0.573	-0.654	0.165	0.657	-0.081	-0.101
115	2.626	119.805	0.708	-0.572	-0.653	0.165	0.655	-0.081	-0.101
116	2.605	119.861	0.708	-0.572	-0.651	0.165	0.653	-0.080	-0.101
117	2.608	119.857	0.708	-0.572	-0.651	0.165	0.654	-0.081	-0.101
