job_id	B 12 13	A 11 9 10	C	O	O	H	B	H	H
27	1.215	131.517	0.975	-0.660	-0.547	-0.084	-0.063	-0.084	-0.025
26	1.215	131.569	0.975	-0.661	-0.548	-0.085	-0.062	-0.083	-0.025
25	1.215	131.62	0.976	-0.661	-0.549	-0.085	-0.060	-0.083	-0.025
24	1.217	131.647	0.976	-0.661	-0.550	-0.085	-0.059	-0.082	-0.026
23	1.214	131.732	0.976	-0.662	-0.551	-0.085	-0.059	-0.081	-0.024
22	1.217	131.707	0.976	-0.662	-0.552	-0.086	-0.059	-0.079	-0.025
21	1.216	131.748	0.976	-0.662	-0.552	-0.086	-0.059	-0.078	-0.025
20	1.217	131.749	0.976	-0.662	-0.553	-0.086	-0.060	-0.077	-0.024
19	1.217	131.753	0.976	-0.662	-0.554	-0.085	-0.061	-0.076	-0.024
18	1.218	131.739	0.977	-0.662	-0.554	-0.085	-0.063	-0.075	-0.024
17	1.218	131.716	0.977	-0.662	-0.554	-0.084	-0.066	-0.074	-0.023
16	1.219	131.68	0.977	-0.662	-0.555	-0.083	-0.069	-0.073	-0.022
15	1.22	131.632	0.977	-0.662	-0.555	-0.082	-0.072	-0.072	-0.021
14	1.221	131.571	0.977	-0.662	-0.555	-0.080	-0.077	-0.071	-0.020
13	1.222	131.497	0.977	-0.662	-0.555	-0.078	-0.081	-0.070	-0.019
12	1.223	131.409	0.976	-0.662	-0.555	-0.076	-0.085	-0.069	-0.018
11	1.225	131.306	0.975	-0.663	-0.555	-0.073	-0.089	-0.067	-0.017
10	1.226	131.184	0.973	-0.664	-0.555	-0.069	-0.093	-0.066	-0.015
9	1.229	131.042	0.971	-0.665	-0.556	-0.064	-0.096	-0.065	-0.014
8	1.231	130.875	0.968	-0.668	-0.557	-0.059	-0.097	-0.064	-0.012
7	1.235	130.679	0.963	-0.670	-0.558	-0.053	-0.097	-0.063	-0.011
6	1.238	130.451	0.957	-0.673	-0.560	-0.046	-0.095	-0.061	-0.009
5	1.243	130.188	0.950	-0.677	-0.563	-0.038	-0.090	-0.060	-0.008
4	1.248	129.888	0.940	-0.682	-0.566	-0.029	-0.083	-0.059	-0.007
3	1.253	129.551	0.929	-0.687	-0.570	-0.019	-0.073	-0.059	-0.006
2	1.26	129.177	0.916	-0.693	-0.575	-0.008	-0.059	-0.058	-0.006
1	1.268	128.769	0.900	-0.699	-0.580	0.003	-0.042	-0.057	-0.005
0	1.277	128.32	0.881	-0.707	-0.586	0.015	-0.021	-0.057	-0.006
TS	1.289	127.831	0.860	-0.714	-0.592	0.028	0.004	-0.058	-0.007
100	1.301	127.319	0.836	-0.722	-0.598	0.042	0.032	-0.058	-0.008
101	1.314	126.776	0.809	-0.730	-0.604	0.056	0.064	-0.059	-0.010
102	1.331	126.201	0.780	-0.739	-0.610	0.071	0.099	-0.061	-0.012
103	1.35	125.597	0.749	-0.747	-0.616	0.086	0.136	-0.063	-0.015
