CO_{2};CO_{2};CO_{2} - BH3;CO_{2} - BH3;CO_{2} - BH3;;;;;;BH_{3};BH_{3};BH_{3} - BH3;BH_{3} - BH3;BH_{3} - BH3;BH_{3} - Add-CO2;BH_{3} - Add-CO2;BH_{3} - Add-CO2;;;AlH_{3};AlH_{3};AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;;;NMe_{3};NMe_{3};NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;;PMe_{3};PMe_{3};PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;;NCB;NCB;NCB - BH3;NCB - BH3;NCB - BH3;NCB - Add-CO2;NCB - Add-CO2;NCB - Add-CO2;;;NCAl;NCAl;NCAl - BH3;NCAl - BH3;NCAl - BH3;NCAl - Add-CO2;NCAl - Add-CO2;NCAl - Add-CO2;;;PCB;PCB;PCB - BH3;PCB - BH3;PCB - BH3;PCB - Add-CO2;PCB - Add-CO2;PCB - Add-CO2;;;PCAl;PCAl;PCAl - BH3;PCAl - BH3;PCAl - BH3;PCAl - Add-CO2;PCAl - Add-CO2;PCAl - Add-CO2;;;NMe2B;NMe2B;NMe2B - BH3;NMe2B - BH3;NMe2B - BH3;NMe2B - Add-CO2;NMe2B - Add-CO2;NMe2B - Add-CO2;;;NMe2Al;NMe2Al;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - Add-CO2;NMe2Al - Add-CO2;NMe2Al - Add-CO2;;;PMe2B;PMe2B;PMe2B - BH3;PMe2B - BH3;PMe2B - BH3;PMe2B - Add-CO2;PMe2B - Add-CO2;PMe2B - Add-CO2;;;PMe2Al;PMe2Al;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - Add-CO2;PMe2Al - Add-CO2;PMe2Al - Add-CO2
BH distance;OCO angle;Strain;Interaction;Total Energy;;;;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag NMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag PMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy
1.201;179.383;1.582;-1.833;-0.25;;;;;;1.199;178.486;1.282;-0.824;0.457;;;;;;1.199;176.899;0.927;1.210;2.137;;;;;;1.199;174.523;2.108;-5.398;-3.290;-1.36;-5.79;-7.149;;;1.230;132.084;32.740;-41.988;-9.247;62.751;-71.998;-9.247;;;1.219;130.233;15.884;-34.490;-18.605;;;;;;1.227;129.130;17.095;-36.133;-19.038;;;;;;1.217;127.226;15.555;-34.718;-19.163;;;;;;1.218;126.948;15.876;-32.783;-16.907;;;;;;1.208;130.855;8.992;-18.786;-9.793;;;;;;1.213;131.020;7.823;-15.984;-8.161;;;;;;1.215;124.495;17.663;-36.541;-18.878;;;;;;1.214;124.314;17.969;-34.288;-16.320;;;
1.201;179.295;1.822;-1.775;0.05;;;;;;1.200;178.336;1.491;-0.710;0.781;;;;;;1.200;176.443;1.133;1.458;2.591;;;;;;1.199;174.448;2.323;-5.445;-3.122;-0.62;-5.82;-6.437;;;1.229;132.171;32.638;-41.684;-9.047;62.650;-71.696;-9.047;;;1.219;130.257;15.812;-34.275;-18.463;;;;;;1.227;129.155;17.032;-35.973;-18.941;;;;;;1.217;127.234;15.515;-34.524;-19.009;;;;;;1.218;126.974;15.883;-32.682;-16.800;;;;;;1.208;130.852;9.050;-18.760;-9.710;;;;;;1.214;130.972;8.049;-16.132;-8.083;;;;;;1.215;124.514;17.616;-36.358;-18.742;;;;;;1.215;124.342;17.933;-34.160;-16.227;;;
1.201;179.138;2.106;-1.733;0.37;;;;;;1.200;178.128;1.716;-0.580;1.136;;;;;;1.200;175.868;1.368;1.723;3.092;;;;;;1.200;174.358;2.579;-5.513;-2.934;0.12;-5.85;-5.734;;;1.230;132.262;32.482;-41.325;-8.842;62.678;-71.521;-8.842;;;1.219;130.281;15.730;-34.046;-18.316;;;;;;1.226;129.181;16.959;-35.798;-18.839;;;;;;1.217;127.244;15.470;-34.322;-18.852;;;;;;1.219;126.999;15.887;-32.580;-16.694;;;;;;1.208;130.839;9.128;-18.747;-9.619;;;;;;1.213;130.923;8.227;-16.222;-7.995;;;;;;1.215;124.534;17.572;-36.178;-18.606;;;;;;1.215;124.371;17.898;-34.032;-16.134;;;
1.202;178.920;2.439;-1.704;0.73;;;;;;1.201;177.856;1.980;-0.449;1.531;;;;;;1.201;175.159;1.692;1.947;3.639;;;;;;1.200;174.256;2.846;-5.568;-2.721;0.86;-5.90;-5.034;;;1.229;132.366;32.443;-41.080;-8.637;62.707;-71.344;-8.637;;;1.219;130.306;15.647;-33.810;-18.163;;;;;;1.226;129.210;16.875;-35.608;-18.733;;;;;;1.217;127.257;15.425;-34.121;-18.696;;;;;;1.219;127.026;15.886;-32.473;-16.587;;;;;;1.208;130.817;9.225;-18.744;-9.519;;;;;;1.215;130.858;8.574;-16.471;-7.897;;;;;;1.215;124.556;17.530;-36.000;-18.469;;;;;;1.215;124.401;17.862;-33.903;-16.040;;;
1.203;178.594;2.808;-1.674;1.13;;;;;;1.201;177.503;2.291;-0.329;1.962;;;;;;1.203;174.255;2.111;2.117;4.228;;;;;;1.201;174.140;3.149;-5.632;-2.483;1.62;-5.95;-4.334;;;1.230;132.454;32.210;-40.643;-8.433;62.601;-71.034;-8.433;;;1.219;130.332;15.559;-33.564;-18.005;;;;;;1.225;129.240;16.783;-35.404;-18.621;;;;;;1.217;127.269;15.391;-33.929;-18.539;;;;;;1.219;127.047;15.889;-32.369;-16.481;;;;;;1.208;130.788;9.342;-18.751;-9.409;;;;;;1.215;130.800;8.849;-16.634;-7.785;;;;;;1.216;124.580;17.487;-35.819;-18.332;;;;;;1.215;124.432;17.818;-33.764;-15.946;;;
1.203;178.161;3.242;-1.667;1.57;;;;;;1.202;177.023;2.667;-0.237;2.430;;;;;;1.204;173.143;2.633;2.226;4.859;;;;;;1.201;174.004;3.498;-5.716;-2.218;2.37;-6.00;-3.632;;;1.230;132.557;32.126;-40.353;-8.227;62.630;-70.856;-8.227;;;1.219;130.361;15.470;-33.313;-17.843;;;;;;1.225;129.272;16.678;-35.184;-18.506;;;;;;1.218;127.281;15.396;-33.775;-18.380;;;;;;1.219;127.081;15.889;-32.261;-16.372;;;;;;1.208;130.754;9.477;-18.765;-9.288;;;;;;1.216;130.734;9.196;-16.856;-7.660;;;;;;1.215;124.608;17.438;-35.632;-18.193;;;;;;1.215;124.466;17.750;-33.601;-15.851;;;
1.204;177.557;3.745;-1.681;2.06;;;;;;1.203;176.389;3.103;-0.165;2.938;;;;;;1.206;171.865;3.295;2.234;5.529;;;;;;1.202;173.837;3.871;-5.796;-1.925;3.14;-6.07;-2.924;;;1.231;132.652;31.982;-40.000;-8.018;62.598;-70.617;-8.018;;;1.219;130.390;15.378;-33.056;-17.678;;;;;;1.224;129.305;16.576;-34.961;-18.385;;;;;;1.217;127.296;15.291;-33.513;-18.222;;;;;;1.220;127.101;15.900;-32.166;-16.266;;;;;;1.209;130.715;9.630;-18.785;-9.155;;;;;;1.216;130.665;9.555;-17.076;-7.521;;;;;;1.216;124.634;17.421;-35.474;-18.053;;;;;;1.215;124.499;17.698;-33.453;-15.755;;;
1.206;176.757;4.313;-1.720;2.59;;;;;;1.204;175.584;3.625;-0.134;3.490;;;;;;1.208;170.436;4.135;2.094;6.229;;;;;;1.203;173.629;4.281;-5.880;-1.599;3.90;-6.12;-2.221;;;1.230;132.763;31.874;-39.684;-7.810;62.550;-70.361;-7.810;;;1.219;130.421;15.282;-32.790;-17.508;;;;;;1.224;129.338;16.466;-34.728;-18.261;;;;;;1.218;127.309;15.286;-33.348;-18.062;;;;;;1.220;127.129;15.898;-32.057;-16.159;;;;;;1.209;130.672;9.801;-18.811;-9.010;;;;;;1.217;130.591;9.958;-17.325;-7.367;;;;;;1.215;124.668;17.346;-35.260;-17.914;;;;;;1.215;124.538;17.609;-33.268;-15.659;;;
1.207;175.762;4.987;-1.814;3.17;;;;;;1.205;174.597;4.248;-0.160;4.088;;;;;;1.211;168.870;5.156;1.782;6.938;;;;;;1.203;173.368;4.744;-5.976;-1.233;4.67;-6.19;-1.520;;;1.231;132.858;31.778;-39.378;-7.599;62.560;-70.159;-7.599;;;1.219;130.454;15.180;-32.515;-17.336;;;;;;1.223;129.371;16.355;-34.488;-18.133;;;;;;1.218;127.331;15.230;-33.129;-17.899;;;;;;1.220;127.156;15.891;-31.942;-16.051;;;;;;1.209;130.626;9.991;-18.843;-8.852;;;;;;1.218;130.511;10.394;-17.591;-7.197;;;;;;1.216;124.698;17.300;-35.074;-17.774;;;;;;1.216;124.571;17.557;-33.119;-15.562;;;
1.208;174.575;5.781;-1.970;3.81;;;;;;1.207;173.430;4.994;-0.265;4.729;;;;;;1.215;167.182;6.413;1.223;7.636;;;;;;1.204;173.028;5.272;-6.095;-0.823;5.43;-6.25;-0.824;;;1.231;132.955;31.697;-39.083;-7.386;62.562;-69.948;-7.386;;;1.219;130.488;15.074;-32.233;-17.159;;;;;;1.223;129.404;16.243;-34.244;-18.002;;;;;;1.218;127.345;15.232;-32.971;-17.739;;;;;;1.220;127.183;15.887;-31.828;-15.942;;;;;;1.209;130.577;10.200;-18.881;-8.681;;;;;;1.219;130.425;10.873;-17.882;-7.009;;;;;;1.216;124.732;17.231;-34.863;-17.633;;;;;;1.215;124.615;17.466;-32.932;-15.465;;;
1.210;173.216;6.722;-2.216;4.51;;;;;;1.209;172.098;5.887;-0.476;5.410;;;;;;1.219;165.400;7.869;0.423;8.292;;;;;;1.205;172.606;5.881;-6.250;-0.369;6.18;-6.33;-0.150;;;1.231;133.046;31.635;-38.802;-7.168;62.577;-69.745;-7.168;;;1.219;130.523;14.963;-31.941;-16.978;;;;;;1.222;129.438;16.133;-34.000;-17.867;;;;;;1.218;127.364;15.178;-32.754;-17.576;;;;;;1.220;127.212;15.875;-31.707;-15.832;;;;;;1.209;130.527;10.429;-18.926;-8.497;;;;;;1.220;130.332;11.393;-18.197;-6.804;;;;;;1.216;124.767;17.163;-34.655;-17.492;;;;;;1.215;124.654;17.407;-32.774;-15.367;;;
1.213;171.703;7.828;-2.580;5.25;;;;;;1.212;170.619;6.949;-0.828;6.122;;;;;;1.225;163.565;9.618;-0.747;8.870;;;;;;1.206;172.019;6.551;-6.421;0.130;6.91;-6.40;0.506;;;1.231;133.134;31.594;-38.537;-6.943;62.594;-69.536;-6.943;;;1.218;130.559;14.846;-31.641;-16.795;;;;;;1.221;129.471;16.026;-33.756;-17.730;;;;;;1.219;127.382;15.152;-32.565;-17.413;;;;;;1.221;127.240;15.860;-31.581;-15.721;;;;;;1.210;130.475;10.677;-18.976;-8.299;;;;;;1.221;130.231;11.961;-18.541;-6.580;;;;;;1.216;124.803;17.087;-34.438;-17.351;;;;;;1.215;124.698;17.329;-32.598;-15.268;;;
1.216;170.065;9.109;-3.080;6.03;;;;;;1.215;169.015;8.189;-1.340;6.849;;;;;;1.231;161.696;11.602;-2.271;9.332;;;;;;1.208;171.267;7.319;-6.638;0.681;7.62;-6.49;1.136;;;1.232;133.215;31.581;-38.289;-6.708;62.624;-69.332;-6.708;;;1.218;130.597;14.723;-31.332;-16.609;;;;;;1.221;129.505;15.926;-33.517;-17.591;;;;;;1.219;127.402;15.106;-32.355;-17.249;;;;;;1.221;127.269;15.836;-31.445;-15.609;;;;;;1.210;130.423;10.941;-19.028;-8.087;;;;;;1.222;130.122;12.579;-18.917;-6.338;;;;;;1.216;124.841;17.012;-34.222;-17.210;;;;;;1.215;124.742;17.254;-32.423;-15.169;;;
1.219;168.333;10.591;-3.761;6.83;;;;;;1.219;167.315;9.641;-2.070;7.571;;;;;;1.239;159.815;13.892;-4.254;9.637;;;;;;1.210;170.340;8.203;-6.915;1.288;8.30;-6.56;1.739;;;1.232;133.292;31.607;-38.066;-6.459;62.650;-69.109;-6.459;;;1.218;130.637;14.601;-31.022;-16.422;;;;;;1.220;129.538;15.831;-33.282;-17.450;;;;;;1.219;127.422;15.067;-32.153;-17.085;;;;;;1.221;127.297;15.807;-31.303;-15.495;;;;;;1.211;130.369;11.239;-19.099;-7.860;;;;;;1.223;130.003;13.256;-19.332;-6.076;;;;;;1.216;124.881;16.936;-34.006;-17.070;;;;;;1.215;124.789;17.167;-32.236;-15.069;;;
1.224;166.532;12.285;-4.656;7.63;;;;;;1.223;165.547;11.294;-3.031;8.264;;;;;;1.249;157.915;16.531;-6.786;9.745;;;;;;1.212;169.240;9.227;-7.280;1.947;8.96;-6.65;2.304;;;1.233;133.364;31.663;-37.856;-6.193;62.677;-68.869;-6.193;;;1.218;130.680;14.477;-30.709;-16.232;;;;;;1.220;129.572;15.742;-33.050;-17.308;;;;;;1.219;127.444;15.029;-31.951;-16.922;;;;;;1.221;127.326;15.777;-31.157;-15.380;;;;;;1.210;130.310;11.550;-19.170;-7.620;;;;;;1.225;129.872;13.997;-19.792;-5.795;;;;;;1.216;124.922;16.864;-33.792;-16.929;;;;;;1.216;124.837;17.077;-32.045;-14.968;;;
1.228;164.682;14.193;-5.792;8.40;;;;;;1.229;163.735;13.196;-4.301;8.895;;;;;;1.258;156.026;19.449;-9.820;9.630;;;;;;1.214;167.981;10.403;-7.750;2.653;9.58;-6.74;2.837;;;1.234;133.429;31.755;-37.659;-5.904;62.704;-68.608;-5.904;;;1.218;130.724;14.349;-30.389;-16.040;;;;;;1.219;129.605;15.658;-32.823;-17.165;;;;;;1.219;127.466;14.997;-31.756;-16.759;;;;;;1.221;127.355;15.745;-31.007;-15.262;;;;;;1.211;130.251;11.896;-19.262;-7.366;;;;;;1.226;129.728;14.815;-20.310;-5.495;;;;;;1.216;124.966;16.792;-33.580;-16.788;;;;;;1.216;124.886;16.980;-31.846;-14.866;;;
1.234;162.801;16.342;-7.226;9.12;;;;;;1.235;161.896;15.327;-5.891;9.436;;;;;;1.269;154.133;22.691;-13.422;9.270;;;;;;1.217;166.588;11.743;-8.349;3.393;10.16;-6.81;3.347;;;1.234;133.488;31.880;-37.468;-5.588;62.724;-68.312;-5.588;;;1.218;130.769;14.218;-30.063;-15.846;;;;;;1.218;129.640;15.577;-32.598;-17.021;;;;;;1.220;127.490;14.960;-31.555;-16.594;;;;;;1.222;127.383;15.703;-30.847;-15.143;;;;;;1.211;130.189;12.259;-19.356;-7.097;;;;;;1.228;129.568;15.725;-20.901;-5.176;;;;;;1.216;125.011;16.721;-33.368;-16.647;;;;;;1.216;124.936;16.880;-31.643;-14.763;;;
1.241;160.903;18.737;-8.990;9.75;;;;;;1.242;160.043;17.726;-7.871;9.854;;;;;;1.282;152.281;26.323;-17.663;8.659;;;;;;1.221;165.090;13.260;-9.110;4.150;10.74;-6.94;3.800;;;1.234;133.541;32.031;-37.272;-5.241;62.744;-67.985;-5.241;;;1.218;130.815;14.084;-29.733;-15.650;;;;;;1.218;129.674;15.499;-32.375;-16.876;;;;;;1.220;127.514;14.920;-31.350;-16.430;;;;;;1.222;127.411;15.650;-30.673;-15.023;;;;;;1.212;130.125;12.651;-19.464;-6.814;;;;;;1.231;129.391;16.743;-21.583;-4.841;;;;;;1.216;125.058;16.646;-33.153;-16.507;;;;;;1.216;124.988;16.774;-31.433;-14.659;;;
1.248;159.003;21.395;-11.125;10.27;;;;;;1.251;158.182;20.405;-10.284;10.120;;;;;;1.296;150.461;30.390;-22.578;7.812;;;;;;1.225;163.509;14.965;-10.063;4.902;11.16;-6.98;4.177;;;1.235;133.588;32.221;-37.080;-4.859;62.766;-67.626;-4.859;;;1.218;130.863;13.949;-29.401;-15.453;;;;;;1.218;129.709;15.422;-32.152;-16.730;;;;;;1.220;127.539;14.876;-31.140;-16.264;;;;;;1.222;127.439;15.593;-30.493;-14.900;;;;;;1.212;130.059;13.065;-19.580;-6.515;;;;;;1.233;129.193;17.879;-22.368;-4.489;;;;;;1.216;125.106;16.567;-32.933;-16.366;;;;;;1.216;125.040;16.665;-31.220;-14.555;;;
1.257;157.113;24.298;-13.636;10.66;;;;;;1.261;156.315;23.385;-13.172;10.213;;;;;;1.312;148.688;34.873;-28.112;6.761;;;;;;1.230;161.871;16.874;-11.249;5.625;11.64;-7.11;4.533;;;1.235;133.629;32.426;-36.866;-4.440;62.774;-67.215;-4.440;;;1.218;130.911;13.811;-29.066;-15.255;;;;;;1.217;129.745;15.346;-31.929;-16.583;;;;;;1.220;127.564;14.827;-30.926;-16.099;;;;;;1.222;127.467;15.537;-30.313;-14.776;;;;;;1.213;129.988;13.508;-19.710;-6.202;;;;;;1.237;128.972;19.149;-23.277;-4.128;;;;;;1.216;125.156;16.482;-32.709;-16.227;;;;;;1.216;125.095;16.553;-31.003;-14.450;;;
1.268;155.244;27.534;-16.629;10.90;;;;;;1.272;154.461;26.651;-16.534;10.117;;;;;;1.330;146.958;39.832;-34.273;5.559;;;;;;1.236;160.193;18.984;-12.692;6.292;12.01;-7.16;4.853;;;1.233;133.662;32.914;-36.881;-3.967;62.773;-66.741;-3.967;;;1.218;130.961;13.671;-28.728;-15.057;;;;;;1.217;129.782;15.269;-31.704;-16.435;;;;;;1.220;127.591;14.779;-30.712;-15.933;;;;;;1.223;127.495;15.483;-30.132;-14.649;;;;;;1.213;129.913;13.984;-19.857;-5.874;;;;;;1.240;128.726;20.564;-24.329;-3.766;;;;;;1.217;125.208;16.395;-32.482;-16.087;;;;;;1.216;125.150;16.441;-30.785;-14.344;;;
1.281;153.388;31.132;-20.145;10.99;;;;;;1.284;152.610;30.269;-20.441;9.828;;;;;;1.348;145.296;45.296;-41.021;4.275;;;;;;1.243;158.490;21.336;-14.458;6.878;12.38;-7.23;5.146;;;1.241;133.627;33.071;-36.509;-3.438;63.085;-66.523;-3.438;;;1.218;131.012;13.529;-28.388;-14.859;;;;;;1.216;129.819;15.192;-31.479;-16.286;;;;;;1.221;127.617;14.733;-30.500;-15.767;;;;;;1.223;127.524;15.429;-29.949;-14.520;;;;;;1.214;129.833;14.499;-20.030;-5.530;;;;;;1.245;128.451;22.130;-25.544;-3.413;;;;;;1.217;125.260;16.305;-32.254;-15.949;;;;;;1.216;125.207;16.327;-30.565;-14.238;;;
1.294;151.545;35.041;-24.137;10.90;;;;;;1.298;150.797;34.287;-24.935;9.352;;;;;;1.369;143.728;51.245;-48.270;2.975;;;;;;1.250;156.780;23.904;-16.542;7.362;12.71;-7.28;5.423;;;1.235;133.685;33.654;-36.578;-2.924;62.941;-65.865;-2.924;;;1.217;131.065;13.385;-28.045;-14.660;;;;;;1.216;129.857;15.115;-31.252;-16.136;;;;;;1.221;127.645;14.688;-30.288;-15.600;;;;;;1.223;127.554;15.374;-29.763;-14.389;;;;;;1.215;129.748;15.060;-20.232;-5.172;;;;;;1.250;128.147;23.854;-26.939;-3.085;;;;;;1.217;125.314;16.214;-32.024;-15.810;;;;;;1.217;125.265;16.214;-30.345;-14.131;;;
1.309;149.723;39.365;-28.697;10.67;;;;;;1.314;149.017;38.759;-30.049;8.710;;;;;;1.391;142.284;57.514;-55.788;1.726;;;;;;1.259;155.068;26.715;-18.992;7.723;13.03;-7.33;5.697;;;1.238;133.588;34.230;-36.560;-2.330;63.319;-65.649;-2.330;;;1.217;131.121;13.233;-27.695;-14.462;;;;;;1.216;129.897;15.038;-31.023;-15.985;;;;;;1.221;127.674;14.643;-30.076;-15.433;;;;;;1.223;127.584;15.315;-29.572;-14.256;;;;;;1.216;129.657;15.669;-20.468;-4.799;;;;;;1.256;127.809;25.770;-28.567;-2.798;;;;;;1.217;125.370;16.121;-31.794;-15.673;;;;;;1.217;125.325;16.101;-30.125;-14.025;;;
1.327;147.934;44.220;-33.916;10.30;;;;;;1.333;147.281;43.744;-35.802;7.942;;;;;;1.414;140.947;63.849;-63.266;0.582;;;;;;1.270;153.362;29.823;-21.878;7.945;13.36;-7.38;5.980;;;1.240;133.475;35.126;-36.776;-1.649;63.741;-65.390;-1.649;;;1.217;131.176;13.093;-27.356;-14.263;;;;;;1.215;129.937;14.960;-30.792;-15.833;;;;;;1.221;127.703;14.597;-29.863;-15.266;;;;;;1.223;127.614;15.250;-29.371;-14.122;;;;;;1.217;129.557;16.330;-20.740;-4.410;;;;;;1.263;127.440;27.879;-30.450;-2.571;;;;;;1.217;125.427;16.024;-31.560;-15.536;;;;;;1.217;125.385;15.984;-29.902;-13.918;;;
1.348;146.173;49.668;-39.814;9.85;;;;;;1.353;145.595;49.293;-42.191;7.102;;;;;;1.437;139.701;70.121;-70.554;-0.432;;;;;;1.283;151.654;33.304;-25.283;8.021;13.72;-7.42;6.295;;;1.240;133.324;36.120;-37.018;-0.899;64.044;-64.943;-0.899;;;1.217;131.233;12.937;-27.003;-14.065;;;;;;1.215;129.978;14.880;-30.559;-15.679;;;;;;1.222;127.733;14.550;-29.648;-15.098;;;;;;1.224;127.645;15.176;-29.162;-13.986;;;;;;1.218;129.449;17.049;-21.054;-4.005;;;;;;1.272;127.034;30.192;-32.614;-2.422;;;;;;1.217;125.486;15.926;-31.326;-15.400;;;;;;1.217;125.447;15.863;-29.674;-13.811;;;
1.371;144.447;55.728;-46.358;9.37;;;;;;1.375;143.960;55.397;-49.136;6.262;;;;;;1.462;138.505;76.209;-77.535;-1.326;;;;;;1.296;149.952;37.085;-29.136;7.949;14.15;-7.49;6.657;;;1.241;133.067;37.455;-37.492;-0.037;64.623;-64.660;-0.037;;;1.217;131.291;12.785;-26.653;-13.868;;;;;;1.215;130.020;14.800;-30.323;-15.523;;;;;;1.222;127.764;14.500;-29.430;-14.930;;;;;;1.224;127.676;15.096;-28.944;-13.848;;;;;;1.219;129.330;17.841;-21.426;-3.585;;;;;;1.282;126.590;32.743;-35.110;-2.367;;;;;;1.217;125.546;15.828;-31.092;-15.265;;;;;;1.217;125.510;15.737;-29.441;-13.704;;;
1.396;142.763;62.238;-53.328;8.91;;;;;;1.399;142.400;61.857;-56.372;5.485;;;;;;1.490;137.382;82.056;-84.186;-2.130;;;;;;1.312;148.250;41.287;-33.544;7.742;14.63;-7.58;7.049;;;1.249;132.712;39.224;-38.260;0.964;65.097;-64.133;0.964;;;1.217;131.349;12.629;-26.301;-13.672;;;;;;1.215;130.064;14.717;-30.082;-15.365;;;;;;1.222;127.796;14.448;-29.209;-14.762;;;;;;1.224;127.710;15.008;-28.717;-13.710;;;;;;1.221;129.198;18.722;-21.874;-3.152;;;;;;1.282;126.590;32.743;-35.110;-2.367;;;;;;1.217;125.607;15.728;-30.858;-15.130;;;;;;1.217;125.574;15.610;-29.207;-13.597;;;
1.423;141.143;68.822;-60.323;8.50;;;;;;1.423;140.948;68.355;-63.552;4.804;;;;;;1.520;136.326;87.482;-90.362;-2.880;;;;;;1.330;146.575;46.023;-38.595;7.428;15.11;-7.69;7.428;;;1.248;132.331;41.174;-39.076;2.097;65.454;-63.357;2.097;;;1.217;131.408;12.473;-25.950;-13.477;;;;;;1.214;130.109;14.631;-29.837;-15.206;;;;;;1.222;127.830;14.388;-28.981;-14.593;;;;;;1.224;127.744;14.938;-28.508;-13.570;;;;;;1.223;129.053;19.700;-22.405;-2.705;;;;;;1.293;126.124;35.541;-37.968;-2.427;;;;;;1.218;125.669;15.627;-30.623;-14.996;;;;;;1.217;125.639;15.481;-28.971;-13.490;;;
1.451;139.697;75.213;-67.082;8.13;;;;;;1.448;139.601;74.607;-70.396;4.211;;;;;;1.554;135.347;92.628;-96.239;-3.611;;;;;;1.351;144.918;51.359;-44.310;7.049;15.55;-7.80;7.742;;;1.256;131.785;43.645;-40.282;3.363;65.689;-62.327;3.363;;;1.217;131.468;12.316;-25.599;-13.283;;;;;;1.214;130.155;14.541;-29.586;-15.045;;;;;;1.222;127.864;14.340;-28.765;-14.425;;;;;;1.225;127.776;14.848;-28.277;-13.429;;;;;;1.225;128.891;20.773;-23.020;-2.248;;;;;;1.306;125.623;38.637;-41.253;-2.616;;;;;;1.218;125.732;15.526;-30.389;-14.863;;;;;;1.218;125.704;15.350;-28.734;-13.383;;;
1.488;138.492;81.636;-73.863;7.77;;;;;;1.475;138.363;80.245;-76.579;3.666;;;;;;1.590;134.635;97.584;-101.911;-4.326;;;;;;1.375;143.291;57.258;-50.600;6.657;15.88;-7.93;7.949;;;1.262;131.190;46.398;-41.675;4.723;65.716;-60.993;4.723;;;1.216;131.529;12.159;-25.250;-13.091;;;;;;1.214;130.204;14.444;-29.326;-14.882;;;;;;1.223;127.897;14.280;-28.537;-14.257;;;;;;1.225;127.809;14.766;-28.053;-13.287;;;;;;1.228;128.709;21.945;-23.731;-1.785;;;;;;1.321;125.087;42.065;-45.012;-2.947;;;;;;1.218;125.797;15.419;-30.149;-14.731;;;;;;1.218;125.772;15.210;-28.487;-13.277;;;
1.517;137.271;87.139;-79.724;7.41;;;;;;1.506;137.358;85.592;-82.452;3.140;;;;;;1.623;133.507;102.477;-107.463;-4.986;;;;;;1.400;141.683;63.498;-57.202;6.295;16.08;-8.06;8.021;;;1.273;130.482;49.657;-43.539;6.118;65.477;-59.359;6.118;;;1.216;131.590;12.002;-24.902;-12.900;;;;;;1.214;130.258;14.342;-29.059;-14.717;;;;;;1.223;127.931;14.218;-28.307;-14.089;;;;;;1.225;127.843;14.679;-27.822;-13.143;;;;;;1.231;128.503;23.242;-24.567;-1.325;;;;;;1.338;124.519;45.918;-49.338;-3.420;;;;;;1.218;125.860;15.342;-29.941;-14.599;;;;;;1.218;125.840;15.097;-28.270;-13.173;;;
1.560;136.409;93.305;-86.279;7.03;;;;;;1.536;136.456;90.627;-88.002;2.626;;;;;;1.661;133.304;106.569;-112.259;-5.690;;;;;;1.426;140.195;69.615;-63.635;5.980;16.14;-8.20;7.945;;;1.285;129.716;53.257;-45.776;7.482;64.927;-57.445;7.482;;;1.216;131.651;11.845;-24.556;-12.711;;;;;;1.214;130.298;14.310;-28.861;-14.550;;;;;;1.223;127.966;14.154;-28.076;-13.922;;;;;;1.225;127.877;14.593;-27.591;-12.999;;;;;;1.235;128.270;24.670;-25.547;-0.878;;;;;;1.358;123.923;50.297;-54.310;-4.013;;;;;;1.218;125.933;15.200;-29.668;-14.468;;;;;;1.218;125.906;14.956;-28.025;-13.069;;;
