CO_{2};CO_{2};CO_{2} - BH3;CO_{2} - BH3;CO_{2} - BH3;;;;;;BH_{3};BH_{3};BH_{3} - BH3;BH_{3} - BH3;BH_{3} - BH3;BH_{3} - Add-CO2;BH_{3} - Add-CO2;BH_{3} - Add-CO2;;;AlH_{3};AlH_{3};AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;;;NMe_{3};NMe_{3};NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;;PMe_{3};PMe_{3};PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;;NCB;NCB;NCB - BH3;NCB - BH3;NCB - BH3;NCB - Add-CO2;NCB - Add-CO2;NCB - Add-CO2;;;NCAl;NCAl;NCAl - BH3;NCAl - BH3;NCAl - BH3;NCAl - Add-CO2;NCAl - Add-CO2;NCAl - Add-CO2;;;PCB;PCB;PCB - BH3;PCB - BH3;PCB - BH3;PCB - Add-CO2;PCB - Add-CO2;PCB - Add-CO2;;;PCAl;PCAl;PCAl - BH3;PCAl - BH3;PCAl - BH3;PCAl - Add-CO2;PCAl - Add-CO2;PCAl - Add-CO2;;;NMe2B;NMe2B;NMe2B - BH3;NMe2B - BH3;NMe2B - BH3;NMe2B - Add-CO2;NMe2B - Add-CO2;NMe2B - Add-CO2;;;NMe2Al;NMe2Al;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - Add-CO2;NMe2Al - Add-CO2;NMe2Al - Add-CO2;;;PMe2B;PMe2B;PMe2B - BH3;PMe2B - BH3;PMe2B - BH3;PMe2B - Add-CO2;PMe2B - Add-CO2;PMe2B - Add-CO2;;;PMe2Al;PMe2Al;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - Add-CO2;PMe2Al - Add-CO2;PMe2Al - Add-CO2
BH distance;OCO angle;Strain;Interaction;Total Energy;;;;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag NMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag PMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy
1.197;179.728;0.342;-2.218;-1.88;;;;;;1.197;179.097;0.364;-1.722;-1.358;;;;;;1.198;178.192;0.250;-0.690;-0.440;;;;;;1.197;174.910;0.898;-5.071;-4.173;-9.98;-5.83;-15.812;;;1.228;131.369;33.896;-45.027;-11.131;62.806;-73.937;-11.131;;;1.218;130.076;16.358;-36.054;-19.696;;;;;;1.228;128.996;17.253;-37.015;-19.763;;;;;;1.215;127.230;15.974;-36.566;-20.592;;;;;;1.216;126.719;15.854;-33.872;-18.018;;;;;;1.206;130.352;9.370;-19.886;-10.516;;;;;;1.210;131.347;7.093;-15.680;-8.588;;;;;;1.215;124.386;17.999;-38.191;-20.193;;;;;;1.214;124.102;18.205;-35.441;-17.236;;;
1.198;179.735;0.410;-2.208;-1.80;;;;;;1.197;179.065;0.405;-1.672;-1.267;;;;;;1.196;178.430;0.201;-0.512;-0.311;;;;;;1.197;174.899;0.961;-5.090;-4.129;-9.04;-5.81;-14.848;;;1.228;131.420;33.791;-44.754;-10.963;62.811;-73.774;-10.963;;;1.218;130.086;16.331;-35.949;-19.618;;;;;;1.228;129.001;17.260;-36.969;-19.709;;;;;;1.215;127.223;15.925;-36.386;-20.461;;;;;;1.217;126.740;15.850;-33.753;-17.903;;;;;;1.208;130.429;9.196;-19.633;-10.438;;;;;;1.211;131.327;7.108;-15.668;-8.560;;;;;;1.215;124.389;17.966;-38.033;-20.067;;;;;;1.214;124.118;18.186;-35.330;-17.144;;;
1.198;179.710;0.457;-2.166;-1.71;;;;;;1.197;178.997;0.454;-1.614;-1.160;;;;;;1.198;178.151;0.271;-0.430;-0.158;;;;;;1.197;174.888;1.037;-5.115;-4.078;-8.10;-5.78;-13.886;;;1.228;131.475;33.683;-44.473;-10.790;62.814;-73.604;-10.790;;;1.218;130.097;16.298;-35.831;-19.532;;;;;;1.228;129.008;17.266;-36.917;-19.651;;;;;;1.215;127.218;15.888;-36.216;-20.328;;;;;;1.217;126.760;15.832;-33.621;-17.789;;;;;;1.207;130.505;9.175;-19.539;-10.364;;;;;;1.211;131.305;7.128;-15.659;-8.531;;;;;;1.215;124.394;17.932;-37.871;-19.940;;;;;;1.214;124.135;18.167;-35.220;-17.053;;;
1.198;179.693;0.530;-2.134;-1.60;;;;;;1.197;179.034;0.504;-1.540;-1.036;;;;;;1.198;178.104;0.316;-0.296;0.020;;;;;;1.197;174.871;1.122;-5.141;-4.019;-7.17;-5.76;-12.936;;;1.228;131.535;33.571;-44.182;-10.611;62.813;-73.423;-10.611;;;1.218;130.111;16.261;-35.701;-19.440;;;;;;1.228;129.017;17.269;-36.858;-19.589;;;;;;1.216;127.215;15.851;-36.042;-20.192;;;;;;1.217;126.781;15.831;-33.507;-17.676;;;;;;1.207;130.576;9.087;-19.378;-10.291;;;;;;1.211;131.281;7.154;-15.653;-8.500;;;;;;1.215;124.402;17.913;-37.724;-19.811;;;;;;1.214;124.153;18.150;-35.111;-16.961;;;
1.198;179.686;0.630;-2.106;-1.48;;;;;;1.196;179.136;0.522;-1.413;-0.891;;;;;;1.197;178.139;0.307;-0.081;0.226;;;;;;1.197;174.846;1.211;-5.164;-3.953;-6.26;-5.74;-12.007;;;1.229;131.600;33.455;-43.882;-10.427;62.805;-73.232;-10.427;;;1.218;130.125;16.221;-35.561;-19.340;;;;;;1.228;129.027;17.267;-36.790;-19.523;;;;;;1.216;127.212;15.802;-35.853;-20.052;;;;;;1.217;126.804;15.838;-33.402;-17.564;;;;;;1.207;130.641;9.041;-19.261;-10.220;;;;;;1.211;131.255;7.188;-15.654;-8.466;;;;;;1.215;124.411;17.890;-37.571;-19.681;;;;;;1.214;124.173;18.135;-35.005;-16.870;;;
1.198;179.663;0.734;-2.062;-1.33;;;;;;1.199;178.807;0.681;-1.417;-0.736;;;;;;1.198;177.945;0.408;0.049;0.458;;;;;;1.198;174.798;1.314;-5.193;-3.879;-5.38;-5.73;-11.107;;;1.229;131.670;33.335;-43.573;-10.238;62.792;-73.030;-10.238;;;1.218;130.139;16.178;-35.411;-19.233;;;;;;1.228;129.038;17.258;-36.712;-19.453;;;;;;1.216;127.211;15.746;-35.655;-19.909;;;;;;1.217;126.827;15.842;-33.294;-17.452;;;;;;1.207;130.700;8.993;-19.143;-10.151;;;;;;1.211;131.225;7.235;-15.664;-8.429;;;;;;1.215;124.421;17.861;-37.411;-19.550;;;;;;1.214;124.194;18.119;-34.898;-16.778;;;
1.201;179.501;0.907;-2.067;-1.16;;;;;;1.197;178.890;0.724;-1.275;-0.551;;;;;;1.197;177.917;0.425;0.296;0.721;;;;;;1.198;174.757;1.416;-5.209;-3.793;-4.52;-5.73;-10.244;;;1.229;131.743;33.213;-43.258;-10.046;62.775;-72.820;-10.046;;;1.218;130.155;16.133;-35.253;-19.120;;;;;;1.228;129.052;17.243;-36.623;-19.379;;;;;;1.216;127.211;15.711;-35.475;-19.764;;;;;;1.218;126.850;15.835;-33.178;-17.342;;;;;;1.207;130.752;8.961;-19.043;-10.082;;;;;;1.211;131.192;7.301;-15.688;-8.387;;;;;;1.215;124.432;17.819;-37.236;-19.417;;;;;;1.214;124.216;18.095;-34.782;-16.687;;;
1.196;179.742;0.970;-1.942;-0.97;;;;;;1.199;178.770;0.861;-1.203;-0.341;;;;;;1.199;177.644;0.561;0.453;1.013;;;;;;1.198;174.714;1.567;-5.256;-3.689;-3.69;-5.73;-9.422;;;1.229;131.821;33.091;-42.941;-9.850;62.754;-72.604;-9.850;;;1.218;130.171;16.088;-35.088;-19.000;;;;;;1.228;129.069;17.220;-36.522;-19.301;;;;;;1.216;127.212;15.671;-35.287;-19.616;;;;;;1.218;126.874;15.838;-33.071;-17.233;;;;;;1.207;130.794;8.941;-18.955;-10.014;;;;;;1.212;131.154;7.390;-15.731;-8.341;;;;;;1.215;124.446;17.785;-37.069;-19.283;;;;;;1.214;124.238;18.069;-34.664;-16.596;;;
1.200;179.454;1.178;-1.937;-0.76;;;;;;1.199;178.691;0.974;-1.084;-0.109;;;;;;1.198;177.468;0.626;0.721;1.347;;;;;;1.198;174.659;1.750;-5.320;-3.571;-2.89;-5.74;-8.635;;;1.229;131.902;32.971;-42.623;-9.652;62.735;-72.387;-9.652;;;1.218;130.190;16.025;-34.899;-18.874;;;;;;1.227;129.087;17.189;-36.407;-19.218;;;;;;1.216;127.214;15.617;-35.084;-19.466;;;;;;1.218;126.898;15.857;-32.981;-17.124;;;;;;1.207;130.826;8.940;-18.884;-9.944;;;;;;1.212;131.113;7.506;-15.794;-8.289;;;;;;1.215;124.461;17.754;-36.902;-19.149;;;;;;1.214;124.262;18.040;-34.544;-16.504;;;
1.199;179.511;1.345;-1.866;-0.52;;;;;;1.199;178.577;1.117;-0.959;0.158;;;;;;1.199;177.216;0.773;0.951;1.724;;;;;;1.199;174.593;1.931;-5.371;-3.439;-2.12;-5.76;-7.880;;;1.229;131.989;32.841;-42.292;-9.451;62.691;-72.142;-9.451;;;1.219;130.210;15.967;-34.710;-18.742;;;;;;1.227;129.107;17.147;-36.278;-19.131;;;;;;1.217;127.219;15.587;-34.903;-19.316;;;;;;1.218;126.923;15.873;-32.888;-17.015;;;;;;1.208;130.846;8.956;-18.827;-9.871;;;;;;1.212;131.067;7.650;-15.879;-8.229;;;;;;1.215;124.478;17.712;-36.725;-19.013;;;;;;1.214;124.287;18.005;-34.417;-16.412;;;
