CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}			BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}			AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}			NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}			PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}			NCB	NCB	NCB	NCB	NCB	NCB	NCB	NCB			NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl			PCB	PCB	PCB	PCB	PCB	PCB	PCB	PCB			PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl
BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI
2.471	124.577	96.894	67.962	621.991	-259.743	362.248	-534.287			2.558	120.269	107.722	77.249	673.852	-277.593	396.260	-611.299			2.453	124.193	99.442	58.290	675.861	-268.243	407.618	-587.289			1.200	169.948	0.033	0.151	15.941	-8.845	7.096	-8.749			1.235	135.478	0.864	0.470	106.421	-60.322	46.099	-71.428			1.217	131.179	0.082	-0.091	92.967	-58.956	34.011	-63.645			1.233	130.073	-0.069	0.119	98.771	-61.548	37.223	-68.004			1.220	128.963	-0.229	-0.056	60.448	-35.565	24.883	-41.499			1.210	126.615	-0.061	-0.019	104.343	-63.899	40.444	-70.914
2.414	124.807	95.097	67.601	617.950	-257.523	360.427	-529.344			2.557	120.326	107.718	77.026	672.703	-277.362	395.341	-610.154			2.452	124.094	99.270	58.563	674.598	-267.39	407.208	-586.882			1.200	169.856	0.038	0.167	15.928	-8.838	7.090	-8.747			1.236	135.437	0.982	0.568	107.424	-60.806	46.618	-72.028			1.217	131.113	0.077	-0.049	93.004	-59.004	34.000	-63.664			1.233	130.061	-0.046	0.130	98.665	-61.507	37.158	-67.964			1.220	128.993	-0.238	-0.107	60.298	-35.448	24.850	-41.380			1.210	126.604	-0.056	-0.026	104.322	-63.880	40.442	-70.897
2.356	125.121	93.183	66.969	611.992	-254.656	357.336	-522.548			2.556	120.355	107.694	77.010	673.578	-277.525	396.053	-610.805			2.451	124.129	99.153	58.489	673.665	-266.984	406.680	-585.980			1.200	169.818	0.036	0.156	15.924	-8.83	7.095	-8.740			1.236	135.342	1.064	0.693	108.033	-61.111	46.922	-72.412			1.217	131.105	0.075	-0.052	92.958	-58.981	33.977	-63.629			1.233	130.067	-0.053	0.137	98.725	-61.523	37.202	-68.002			1.219	129.006	-0.250	-0.111	60.161	-35.359	24.802	-41.297			1.210	126.581	-0.077	-0.025	104.286	-63.852	40.433	-70.860
2.296	125.566	91.036	66.138	604.424	-251.288	353.136	-514.121			2.556	120.387	107.691	76.996	673.474	-277.439	396.035	-610.732			2.448	124.177	98.896	58.483	673.003	-266.261	406.742	-585.630			1.201	169.850	0.025	0.176	15.938	-8.829	7.109	-8.735			1.236	135.290	1.237	0.767	109.247	-61.699	47.548	-73.156			1.217	131.166	0.075	-0.081	92.857	-58.912	33.945	-63.555			1.233	130.080	-0.066	0.120	98.85	-61.558	37.292	-68.059			1.220	129.014	-0.305	-0.101	59.884	-35.202	24.682	-41.098			1.210	126.665	-0.050	-0.074	104.658	-63.981	40.678	-71.085
2.239	126.029	88.790	65.108	595.208	-247.470	347.738	-504.170			2.556	120.408	107.696	76.923	673.008	-277.252	395.756	-610.380			2.447	124.203	98.791	58.421	673.033	-266.22	406.813	-585.418			1.200	169.894	0.020	0.174	15.915	-8.805	7.109	-8.718			1.236	135.229	1.307	0.801	109.776	-61.939	47.836	-73.493			1.217	131.180	0.093	-0.060	92.970	-58.977	33.993	-63.634			1.232	130.079	-0.079	0.107	98.927	-61.579	37.348	-68.078			1.220	129.049	-0.333	-0.119	59.728	-35.090	24.638	-40.984			1.209	126.667	-0.042	-0.086	104.673	-63.988	40.685	-71.082
2.182	126.574	86.325	63.820	584.542	-243.221	341.321	-492.768			2.554	120.416	107.687	76.888	674.712	-277.840	396.872	-611.462			2.446	124.320	98.667	57.973	672.289	-265.975	406.314	-584.207			1.200	169.914	0.011	0.170	15.954	-8.819	7.135	-8.732			1.237	135.173	1.437	0.869	110.805	-62.426	48.379	-74.123			1.217	131.209	0.059	-0.082	92.983	-58.955	34.028	-63.600			1.233	130.072	-0.080	0.078	98.891	-61.54	37.351	-68.038			1.219	129.097	-0.359	-0.157	59.551	-34.955	24.596	-40.854			1.210	126.741	-0.070	-0.170	104.798	-64.015	40.783	-71.143
2.124	127.224	83.518	62.255	571.841	-238.263	333.578	-479.274			2.554	120.441	107.662	76.761	673.715	-277.519	396.196	-610.624			2.445	124.367	98.522	57.814	671.757	-265.703	406.054	-583.515			1.200	169.937	0.014	0.185	15.976	-8.823	7.153	-8.748			1.238	135.182	1.572	0.913	111.948	-63.006	48.942	-74.819			1.217	131.232	0.084	-0.134	93.066	-58.968	34.097	-63.620			1.233	130.063	0.037	0.097	98.59	-61.436	37.154	-67.975			1.219	129.026	-0.378	-0.129	59.534	-34.951	24.582	-40.835			1.210	126.693	-0.050	-0.077	104.844	-64.067	40.777	-71.128
2.068	127.947	80.500	60.469	557.757	-232.862	324.894	-464.469			2.553	120.451	107.658	76.736	673.764	-277.535	396.228	-610.625			2.445	124.358	98.440	57.905	669.986	-265.058	404.928	-582.260			1.200	169.969	0.028	0.174	15.979	-8.819	7.160	-8.760			1.238	135.117	1.740	1.031	113.311	-63.665	49.646	-75.663			1.217	131.224	0.072	-0.135	93.066	-58.971	34.095	-63.617			1.233	130.053	-0.065	0.146	98.388	-61.329	37.06	-67.819			1.219	129.083	-0.374	-0.140	59.466	-34.896	24.570	-40.795			1.210	126.645	-0.084	-0.072	104.657	-63.948	40.709	-71.026
2.013	128.735	77.247	58.474	542.806	-227.185	315.620	-448.681			2.552	120.494	107.543	76.529	674.046	-277.750	396.296	-610.487			2.443	124.417	98.277	57.756	669.658	-264.771	404.887	-581.774			1.200	169.996	0.046	0.171	15.999	-8.824	7.176	-8.785			1.239	135.067	1.887	1.133	114.579	-64.289	50.290	-76.427			1.217	131.230	0.054	-0.123	93.033	-58.944	34.089	-63.607			1.233	130.060	-0.062	0.139	98.37	-61.316	37.055	-67.8			1.220	129.097	-0.384	-0.153	59.308	-34.799	24.510	-40.693			1.210	126.606	-0.031	-0.077	104.915	-64.111	40.803	-71.215
1.959	129.557	73.812	56.407	527.509	-221.399	306.110	-432.555			2.551	120.549	107.531	76.394	673.986	-277.783	396.203	-610.197			2.443	124.254	98.256	58.174	670.534	-265.084	405.450	-582.680			1.200	170.015	0.052	0.235	16.054	-8.843	7.211	-8.814			1.239	135.021	2.020	1.239	115.775	-64.860	50.915	-77.140			1.217	131.184	0.037	-0.093	92.883	-58.873	34.010	-63.507			1.233	130.052	-0.081	0.138	98.359	-61.298	37.061	-67.778			1.220	129.111	-0.425	-0.157	59.148	-34.687	24.461	-40.570			1.210	126.610	-0.067	-0.107	104.722	-63.991	40.731	-71.073
1.906	130.411	70.207	54.282	511.798	-215.482	296.316	-415.952			2.550	120.598	107.526	76.241	674.213	-277.936	396.277	-610.101			2.442	124.250	98.117	58.059	669.183	-264.384	404.799	-581.673			1.200	170.035	0.051	0.238	16.112	-8.862	7.250	-8.840			1.240	134.978	2.153	1.366	116.983	-65.458	51.525	-77.889			1.217	131.137	0.023	-0.120	92.511	-58.690	33.821	-63.286			1.233	130.061	-0.091	0.132	98.306	-61.259	37.047	-67.738			1.219	129.121	-0.469	-0.167	58.971	-34.566	24.405	-40.437			1.210	126.627	-0.083	-0.135	104.657	-63.949	40.708	-71.025
