CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}			BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}			AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}			NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}			PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}			NCB	NCB	NCB	NCB	NCB	NCB	NCB	NCB			NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl			PCB	PCB	PCB	PCB	PCB	PCB	PCB	PCB			PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl
BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI
										2.541	122.412	104.871	70.312	667.798	-273.864	393.933	-595.411			1.308	148.569	12.942	17.142	177.749	-75.87	101.879	-122.645			1.221	160.663	6.357	4.037	79.574	-38.131	41.443	-46.014			1.409	127.752	18.955	19.831	311.079	-152.821	158.258	-209.348			1.220	131.629	-1.064	-0.606	84.060	-53.327	30.733	-57.225			1.223	130.884	-1.507	-0.548	89.197	-55.76	33.437	-60.556			1.218	129.882	-1.969	-0.661	50.698	-28.815	21.883	-34.193			1.211	127.034	-0.967	-0.291	97.522	-59.678	37.844	-65.843
										2.542	122.428	104.797	70.244	667.490	-273.689	393.801	-595.046			1.296	149.821	11.660	15.565	162.492	-69.316	93.176	-110.746			1.223	160.241	6.607	4.202	82.009	-39.311	42.698	-47.569			1.434	127.254	20.963	21.437	331.873	-161.177	170.697	-225.135			1.218	131.623	-1.131	-0.645	83.963	-53.224	30.739	-57.117			1.222	130.882	-1.552	-0.518	88.991	-55.665	33.326	-60.422			1.219	129.947	-1.944	-0.670	50.801	-28.852	21.949	-34.257			1.211	127.051	-0.998	-0.273	97.361	-59.568	37.793	-65.735
										2.544	122.461	104.784	70.167	666.645	-273.211	393.434	-594.476			1.286	150.920	10.622	14.229	149.673	-63.75	85.924	-100.895			1.224	159.921	6.964	4.461	85.02	-40.683	44.337	-49.444			1.465	126.692	23.562	23.307	355.530	-170.529	185.001	-243.699			1.219	131.632	-1.152	-0.638	83.805	-53.124	30.681	-57.006			1.222	130.924	-1.559	-0.543	88.982	-55.631	33.351	-60.381			1.219	129.971	-2.010	-0.656	50.407	-28.648	21.759	-33.994			1.211	127.060	-1.017	-0.280	97.206	-59.472	37.735	-65.625
										2.544	122.482	104.683	70.124	666.538	-273.073	393.464	-594.247			1.276	152.250	9.469	12.729	135.472	-57.562	77.910	-90.012			1.226	159.235	7.398	4.865	89.196	-42.646	46.550	-52.151			1.506	126.011	27.225	25.663	383.851	-181.588	202.263	-266.819			1.218	131.633	-1.183	-0.628	83.674	-53.032	30.641	-56.906			1.222	130.987	-1.563	-0.544	89.042	-55.645	33.397	-60.4			1.216	130.021	-2.076	-0.692	50.284	-28.531	21.753	-33.866			1.211	127.056	-1.015	-0.271	97.062	-59.392	37.671	-65.544
										2.544	122.510	104.569	70.044	666.210	-272.771	393.440	-593.905			1.263	153.885	8.295	11.070	121.01	-51.214	69.796	-78.934			1.229	158.536	7.856	5.203	93.648	-44.744	48.904	-55.061			1.559	125.186	32.039	28.478	416.136	-193.957	222.178	-294.358			1.219	131.638	-1.218	-0.625	83.533	-52.936	30.596	-56.802			1.222	130.932	-1.573	-0.518	89.049	-55.66	33.389	-60.379			1.218	130.003	-2.045	-0.695	50.316	-28.546	21.770	-33.886			1.211	127.038	-1.009	-0.255	96.950	-59.332	37.618	-65.480
										2.545	122.529	104.445	70.033	666.216	-272.556	393.660	-593.852			1.263	153.885	8.295	11.070	121.01	-51.214	69.796	-78.934			1.231	157.859	8.283	5.672	98.142	-46.841	51.301	-58.006			1.559	125.186	32.039	28.478	416.136	-193.957	222.178	-294.358			1.218	131.619	-1.235	-0.621	83.347	-52.829	30.517	-56.687			1.223	130.837	-1.563	-0.551	88.923	-55.585	33.338	-60.29			1.218	129.997	-2.062	-0.695	50.236	-28.485	21.751	-33.815			1.212	127.069	-1.050	-0.282	96.728	-59.157	37.571	-65.314
										2.546	122.572	104.354	69.770	665.228	-272.128	393.100	-592.772			1.255	155.606	7.005	9.408	106.767	-44.883	61.884	-68.146			1.234	157.125	8.733	6.249	102.845	-49.038	53.807	-61.173			1.607	124.448	36.538	31.180	444.370	-204.408	239.963	-319.453			1.218	131.630	-1.266	-0.639	83.167	-52.706	30.462	-56.560			1.222	130.849	-1.668	-0.581	88.196	-55.188	33.008	-59.798			1.218	129.981	-2.085	-0.682	50.139	-28.421	21.718	-33.740			1.211	127.033	-1.051	-0.272	96.648	-59.118	37.530	-65.275
										2.546	122.613	104.233	69.585	665.200	-272.004	393.196	-592.382			1.247	157.013	6.162	8.199	96.909	-40.494	56.415	-60.759			1.237	156.506	9.171	6.765	107.433	-51.197	56.236	-64.205			1.646	123.857	40.229	33.367	465.186	-212.047	253.138	-338.689			1.218	131.630	-1.295	-0.667	82.920	-52.549	30.370	-56.380			1.222	130.854	-1.657	-0.539	88.407	-55.304	33.103	-59.95			1.218	129.959	-2.095	-0.664	50.068	-28.381	21.687	-33.691			1.212	127.028	-1.069	-0.272	96.508	-59.028	37.480	-65.180
										2.547	122.668	104.082	69.316	664.175	-271.394	392.780	-591.391			1.241	158.469	5.415	7.102	88.306	-36.69	51.616	-54.299			1.239	155.838	9.597	7.321	112.287	-53.458	58.829	-67.465			1.678	123.400	43.176	35.137	480.621	-217.645	262.975	-353.405			1.218	131.651	-1.332	-0.683	82.700	-52.406	30.294	-56.210			1.221	130.847	-1.689	-0.547	88.224	-55.194	33.03	-59.815			1.218	129.990	-2.101	-0.674	50.075	-28.359	21.716	-33.685			1.211	127.016	-1.101	-0.270	96.385	-58.942	37.443	-65.087
										2.547	122.716	103.923	69.137	663.756	-270.979	392.778	-590.834			1.234	160.044	4.663	5.988	79.808	-32.939	46.868	-47.966			1.244	154.940	10.188	8.021	118.73	-56.552	62.178	-71.791			1.709	123.000	45.894	36.773	494.460	-222.566	271.894	-366.897			1.218	131.666	-1.354	-0.696	82.462	-52.260	30.202	-56.048			1.221	130.838	-1.724	-0.533	88.097	-55.119	32.978	-59.722			1.218	130.014	-2.084	-0.682	50.214	-28.411	21.802	-33.761			1.212	126.998	-1.137	-0.291	96.284	-58.870	37.414	-64.998
										2.548	122.761	103.696	68.904	663.098	-270.460	392.638	-589.988			1.228	161.698	3.974	4.940	71.912	-29.463	42.449	-42.175			1.248	154.136	10.718	8.732	125.02	-59.469	65.552	-76.084			1.745	122.489	49.175	38.804	511.054	-228.420	282.634	-383.224			1.219	131.826	-1.310	-0.775	82.749	-52.330	30.419	-56.206			1.221	130.861	-1.759	-0.554	87.97	-55.023	32.947	-59.616			1.218	129.994	-2.061	-0.682	50.373	-28.482	21.892	-33.862			1.214	127.048	-1.290	-0.306	95.736	-58.503	37.233	-64.584
										2.550	122.772	103.579	68.894	662.032	-269.587	392.445	-589.397			1.223	163.344	3.382	3.998	64.941	-26.424	38.517	-37.167			1.252	153.404	11.241	9.453	131.262	-62.383	68.879	-80.340			1.775	122.098	51.802	40.474	523.443	-232.784	290.659	-395.817			1.218	131.777	-1.350	-0.745	82.372	-52.141	30.231	-55.980			1.221	130.884	-1.749	-0.533	87.788	-54.934	32.854	-59.519			1.218	130.011	-2.060	-0.644	50.453	-28.529	21.924	-33.905			1.211	127.125	-1.164	-0.383	95.885	-58.600	37.285	-64.709
										2.550	122.851	103.356	68.613	661.520	-269.232	392.288	-588.426			1.219	165.132	2.816	3.126	58.166	-23.489	34.677	-32.419			1.256	152.717	11.722	10.125	137.287	-65.185	72.102	-84.462			1.807	121.728	54.567	42.308	536.769	-237.327	299.442	-409.552			1.218	131.776	-1.373	-0.767	82.136	-51.997	30.139	-55.830			1.221	130.850	-1.751	-0.574	87.755	-54.901	32.854	-59.485			1.218	129.950	-2.115	-0.689	50.272	-28.372	21.901	-33.758			1.211	127.113	-1.197	-0.380	95.699	-58.488	37.211	-64.592
										2.550	122.930	103.141	68.387	661.227	-268.809	392.418	-587.740			1.214	167.050	2.305	2.289	51.654	-20.698	30.956	-27.981			1.260	152.034	12.242	10.783	143.7	-68.134	75.566	-88.863			1.823	121.108	55.724	43.070	543.196	-239.598	303.598	-415.835			1.218	131.732	-1.264	-0.715	82.270	-52.112	30.158	-55.983			1.222	130.871	-1.707	-0.641	87.713	-54.854	32.859	-59.452			1.218	129.949	-2.102	-0.656	50.282	-28.383	21.899	-33.764			1.211	127.115	-1.221	-0.391	95.530	-58.383	37.147	-64.478
										2.550	123.091	102.877	68.181	660.446	-268.461	391.985	-586.301			1.211	168.869	1.873	1.639	45.907	-18.26	27.647	-24.224			1.266	151.201	12.901	11.764	152.257	-72.148	80.109	-94.760			1.847	121.172	57.771	44.508	552.012	-242.528	309.484	-425.483			1.220	131.706	-1.393	-0.705	81.954	-51.908	30.046	-55.721			1.221	130.928	-1.641	-0.614	87.836	-54.923	32.913	-59.55			1.218	129.949	-2.095	-0.650	50.255	-28.361	21.894	-33.754			1.211	127.101	-1.217	-0.351	95.371	-58.328	37.043	-64.403
										2.547	123.325	102.295	67.411	654.715	-265.002	389.713	-582.220			1.208	170.658	1.478	1.131	40.604	-16.044	24.560	-20.900			1.274	150.147	13.710	12.863	163.659	-77.289	86.369	-102.628			1.863	120.989	59.047	45.366	558.246	-244.608	313.638	-432.020			1.218	131.733	-1.403	-0.733	81.702	-51.748	29.953	-55.561			1.221	130.860	-1.736	-0.587	87.855	-54.921	32.934	-59.518			1.218	129.959	-2.082	-0.657	50.260	-28.346	21.914	-33.751			1.212	127.120	-1.224	-0.416	95.197	-58.204	36.993	-64.279
										2.547	123.465	101.951	67.036	654.611	-264.628	389.983	-581.254			1.206	172.356	1.138	0.763	35.72	-14.026	21.694	-17.989			1.283	149.046	14.638	14.169	176.663	-83.192	93.471	-111.707			1.873	120.867	59.879	45.803	561.861	-245.842	316.020	-435.817			1.218	131.746	-1.459	-0.738	81.427	-51.570	29.857	-55.394			1.221	130.864	-1.731	-0.615	87.779	-54.863	32.915	-59.458			1.218	129.965	-2.078	-0.660	50.347	-28.369	21.978	-33.791			1.212	127.193	-1.284	-0.465	94.927	-58.005	36.922	-64.058
										2.546	123.620	101.610	66.557	652.788	-263.506	389.282	-579.222			1.204	173.818	0.857	0.439	31.435	-12.26	19.175	-15.546			1.294	147.957	15.676	15.545	190.953	-89.609	101.344	-121.764			1.883	120.766	60.645	46.357	565.587	-247.068	318.519	-439.776			1.218	131.749	-1.521	-0.747	81.195	-51.416	29.779	-55.206			1.220	130.877	-1.747	-0.633	87.741	-54.815	32.926	-59.413			1.218	129.940	-2.066	-0.669	50.430	-28.397	22.034	-33.832			1.212	127.188	-1.333	-0.459	94.588	-57.798	36.789	-63.824
										2.545	123.792	101.214	66.031	651.946	-262.660	389.287	-577.832			1.203	175.040	0.651	0.257	27.72	-10.776	16.944	-13.518			1.309	146.645	17.068	17.311	211.229	-98.552	112.676	-136.082			1.890	120.689	61.136	46.779	567.855	-247.774	320.081	-442.317			1.219	131.736	-1.611	-0.751	80.993	-51.271	29.722	-55.025			1.221	130.879	-1.748	-0.582	87.821	-54.857	32.964	-59.456			1.218	130.004	-2.058	-0.636	50.684	-28.492	22.193	-33.997			1.211	127.189	-1.376	-0.454	94.293	-57.624	36.668	-63.627
										2.543	124.020	100.843	65.387	649.772	-261.698	388.074	-575.108			1.202	176.011	0.487	0.135	24.464	-9.481	14.982	-11.799			1.337	144.528	19.596	20.204	242.409	-112.14	130.268	-159.000			1.895	120.657	61.570	47.114	569.910	-248.443	321.466	-444.570			1.218	131.721	-1.752	-0.779	80.815	-51.109	29.706	-54.823			1.222	130.839	-1.720	-0.635	87.467	-54.665	32.802	-59.25			1.218	129.915	-2.065	-0.638	50.691	-28.485	22.206	-33.989			1.211	127.216	-1.411	-0.474	94.063	-57.470	36.592	-63.467
										2.541	123.874	100.444	65.639	648.656	-260.423	388.233	-574.580			1.201	176.743	0.365	0.061	21.609	-8.355	13.254	-10.348			1.337	144.528	19.596	20.204	242.409	-112.14	130.268	-159.000			1.903	120.543	62.239	47.435	573.095	-249.591	323.504	-447.703			1.219	131.769	-1.467	-0.763	81.064	-51.308	29.757	-55.138			1.223	130.712	-1.718	-0.589	87.241	-54.595	32.646	-59.132			1.218	129.869	-2.053	-0.643	50.701	-28.473	22.229	-33.991			1.211	127.240	-1.436	-0.489	93.853	-57.337	36.516	-63.324
										2.538	124.045	99.955	65.130	646.855	-259.113	387.742	-572.327			1.201	177.252	0.263	0.028	19.15	-7.397	11.754	-9.126			1.357	143.426	21.587	22.028	264.14	-121.344	142.797	-175.425			1.908	120.466	62.570	47.749	574.817	-250.111	324.705	-449.605			1.218	131.763	-1.586	-0.787	80.762	-51.094	29.668	-54.880			1.222	130.894	-1.782	-0.613	87.42	-54.612	32.809	-59.206			1.219	129.883	-2.032	-0.618	50.836	-28.548	22.288	-34.089			1.211	127.276	-1.458	-0.511	93.628	-57.186	36.442	-63.175
										2.533	124.195	99.481	64.664	644.988	-257.898	387.090	-569.996			1.200	177.610	0.192	0.000	17	-6.562	10.438	-8.077			1.385	141.936	24.331	24.382	290.587	-132.475	158.112	-196.016			1.914	120.408	63.034	48.099	577.096	-250.855	326.241	-452.053			1.218	131.767	-1.611	-0.790	80.561	-50.964	29.597	-54.745			1.221	130.985	-1.834	-0.633	87.458	-54.575	32.884	-59.197			1.218	129.959	-2.080	-0.620	50.706	-28.453	22.254	-33.975			1.211	127.231	-1.485	-0.512	93.583	-57.145	36.438	-63.132
										2.528	124.326	99.056	64.274	643.621	-256.941	386.679	-568.059			1.200	177.859	0.145	-0.038	15.136	-5.848	9.289	-7.187			1.426	140.172	28.213	27.387	325.927	-146.923	179.004	-224.035			1.919	120.332	63.488	48.439	579.193	-251.550	327.643	-454.344			1.218	131.769	-1.638	-0.800	80.365	-50.839	29.526	-54.608			1.219	130.930	-1.852	-0.670	87.083	-54.379	32.704	-58.968			1.218	129.896	-2.074	-0.639	50.863	-28.489	22.374	-34.060			1.211	127.192	-1.462	-0.494	93.542	-57.122	36.421	-63.122
										2.522	124.440	98.613	63.953	642.195	-256.083	386.111	-566.078			1.200	178.055	0.108	-0.002	13.502	-5.222	8.280	-6.409			1.472	138.482	32.777	30.474	360.767	-160.893	199.874	-252.872			1.923	120.281	63.690	48.611	581.277	-252.293	328.984	-456.112			1.218	131.775	-1.681	-0.803	80.185	-50.715	29.470	-54.472			1.219	130.969	-1.865	-0.675	86.905	-54.262	32.643	-58.84			1.218	129.922	-2.042	-0.581	51.027	-28.621	22.406	-34.200			1.212	127.205	-1.486	-0.515	93.301	-56.970	36.331	-62.958
										2.515	124.547	98.206	63.661	641.063	-255.340	385.723	-564.396			1.199	178.219	0.078	-0.043	12.019	-4.659	7.360	-5.706			1.511	137.245	36.533	32.782	385.179	-170.569	214.610	-273.888			1.924	120.273	63.849	49.005	582.284	-252.539	329.744	-457.480			1.218	131.791	-1.706	-0.827	79.922	-50.551	29.371	-54.289			1.219	131.038	-1.890	-0.729	86.731	-54.125	32.606	-58.695			1.219	129.899	-1.997	-0.575	51.292	-28.745	22.547	-34.375			1.211	127.214	-1.536	-0.517	93.056	-56.814	36.242	-62.785
										2.507	124.645	97.804	63.406	639.712	-254.624	385.088	-562.593			1.199	178.345	0.056	-0.042	10.735	-4.178	6.558	-5.097			1.552	136.125	40.497	34.895	406.228	-178.961	227.267	-292.931			1.927	120.223	64.114	49.258	582.960	-252.870	330.091	-458.352			1.218	131.857	-1.707	-0.857	79.960	-50.529	29.432	-54.304			1.220	131.036	-1.939	-0.783	86.304	-53.854	32.45	-58.414			1.219	130.022	-1.929	-0.637	51.487	-28.817	22.670	-34.491			1.211	127.223	-1.574	-0.521	92.701	-56.602	36.099	-62.559
										2.499	124.736	97.391	63.163	638.980	-254.107	384.872	-561.235			1.199	178.450	0.036	-0.065	9.554	-3.73	5.824	-4.536			1.597	135.169	44.572	36.757	424.774	-186.265	238.509	-310.512			1.933	120.143	64.557	49.600	585.375	-253.574	331.801	-460.954			1.218	131.901	-1.730	-0.882	79.767	-50.389	29.378	-54.156			1.219	130.950	-1.997	-0.675	86.103	-53.792	32.312	-58.313			1.219	129.990	-1.914	-0.600	51.727	-28.929	22.798	-34.647			1.211	127.232	-1.604	-0.537	92.448	-56.441	36.007	-62.383
										2.489	124.829	96.981	62.986	637.836	-253.587	384.249	-559.536			1.199	178.552	0.024	-0.055	8.478	-3.328	5.150	-4.025			1.632	134.357	47.772	38.392	441.423	-192.695	248.727	-325.946			1.938	120.149	64.967	49.786	586.981	-254.110	332.871	-462.708			1.218	131.972	-1.766	-0.896	79.626	-50.281	29.345	-54.042			1.219	130.970	-2.007	-0.694	85.942	-53.685	32.257	-58.197			1.219	129.992	-1.886	-0.596	51.962	-29.030	22.932	-34.794			1.211	127.234	-1.632	-0.579	92.174	-56.261	35.913	-62.184
										2.476	124.896	96.427	62.684	635.702	-252.560	383.142	-556.989			1.199	178.635	0.015	-0.076	7.507	-2.967	4.540	-3.563			1.661	133.745	50.344	39.577	453.471	-197.372	256.098	-337.495			1.944	120.079	65.389	50.132	589.278	-254.794	334.484	-465.194			1.218	131.798	-1.826	-0.876	79.045	-49.968	29.077	-53.675			1.219	130.993	-2.020	-0.718	85.822	-53.591	32.231	-58.109			1.219	129.998	-1.857	-0.605	52.180	-29.117	23.063	-34.926			1.211	127.253	-1.694	-0.574	91.797	-56.038	35.759	-61.932
										2.457	125.126	95.728	62.417	635.141	-252.269	382.873	-555.091			1.199	178.701	0.008	-0.107	6.654	-2.658	3.996	-3.151			1.687	132.886	52.629	41.081	462.838	-200.892	261.946	-347.350			1.950	120.023	65.823	50.444	591.401	-255.464	335.936	-467.505			1.218	131.917	-1.865	-0.904	78.918	-49.852	29.066	-53.560			1.219	130.977	-1.976	-0.658	85.96	-53.679	32.281	-58.223			1.219	130.001	-1.820	-0.625	52.380	-29.191	23.189	-35.047			1.211	127.257	-1.716	-0.596	91.591	-55.894	35.697	-61.789
										2.431	125.265	94.837	62.147	632.691	-251.281	381.411	-551.636			1.199	178.753	0.004	-0.089	5.891	-2.384	3.507	-2.778			1.711	132.540	54.780	42.054	473.009	-204.93	268.079	-356.863			1.953	120.016	66.150	50.554	593.423	-256.179	337.244	-469.337			1.218	131.929	-1.921	-0.924	78.562	-49.620	28.942	-53.311			1.218	131.022	-2.025	-0.713	85.643	-53.47	32.173	-57.997			1.219	130.024	-1.798	-0.597	52.535	-29.267	23.268	-35.151			1.211	127.266	-1.749	-0.603	91.346	-55.736	35.610	-61.626
										2.402	125.455	93.827	61.812	629.693	-250.149	379.545	-547.608			1.198	178.689	0.000	0.000	4.622	-1.992	2.630	-2.156			1.730	132.194	56.445	42.861	480.878	-207.964	272.914	-364.436			1.960	119.955	66.575	51.012	594.941	-256.540	338.401	-471.504			1.218	131.938	-1.968	-0.934	78.220	-49.404	28.816	-53.071			1.218	131.029	-2.043	-0.722	85.499	-53.377	32.123	-57.894			1.220	130.048	-1.721	-0.597	52.781	-29.385	23.397	-35.331			1.211	127.276	-1.778	-0.615	91.111	-55.589	35.522	-61.467
										2.375	125.656	92.803	61.453	626.747	-248.954	377.792	-543.722													1.749	131.886	58.035	43.655	488.708	-210.923	277.785	-372.004			1.964	119.913	66.940	51.230	596.383	-257.002	339.382	-473.160			1.218	131.925	-2.011	-0.950	77.846	-49.171	28.675	-52.823			1.217	131.024	-2.063	-0.728	85.43	-53.314	32.116	-57.836			1.219	130.016	-1.733	-0.572	52.960	-29.455	23.505	-35.430			1.211	127.279	-1.803	-0.625	90.851	-55.433	35.418	-61.298
										2.346	125.879	91.771	61.080	623.447	-247.711	375.736	-539.448													1.764	131.606	59.321	44.259	494.413	-213.128	281.285	-377.605			1.970	119.888	67.293	51.564	597.858	-257.449	340.409	-474.998			1.218	131.947	-2.054	-0.974	77.532	-48.963	28.569	-52.576			1.218	131.031	-2.071	-0.741	85.302	-53.224	32.077	-57.754			1.219	129.970	-1.727	-0.570	53.083	-29.497	23.586	-35.499			1.211	127.281	-1.828	-0.583	90.688	-55.350	35.339	-61.204
										2.318	126.069	90.750	60.819	620.077	-246.465	373.612	-535.261													1.780	131.326	60.598	44.891	499.925	-215.229	284.696	-383.109			1.972	119.834	67.541	51.647	599.330	-257.921	341.409	-476.364			1.218	131.972	-2.095	-0.977	77.246	-48.778	28.468	-52.385			1.217	131.037	-2.092	-0.764	85.171	-53.122	32.049	-57.656			1.219	129.970	-1.681	-0.574	53.377	-29.621	23.756	-35.691			1.211	127.330	-1.874	-0.684	90.398	-55.132	35.266	-60.968
										2.289	126.261	89.645	60.433	615.403	-244.767	370.636	-530.046													1.793	131.075	61.687	45.452	504.771	-217.062	287.709	-387.967			1.978	119.802	67.947	51.908	601.176	-258.523	342.653	-478.398			1.218	132.021	-2.137	-1.021	76.956	-48.564	28.393	-52.160			1.217	131.034	-2.072	-0.749	85.317	-53.187	32.13	-57.75			1.219	130.008	-1.644	-0.528	53.739	-29.793	23.946	-35.927			1.211	127.330	-1.890	-0.644	90.303	-55.097	35.206	-60.925
										2.261	126.475	88.545	60.085	611.151	-243.204	367.947	-525.190													1.808	130.803	62.877	46.058	510.033	-219.061	290.971	-393.252			1.983	119.782	68.303	52.175	602.896	-259.039	343.857	-480.320			1.218	132.045	-2.172	-0.990	76.696	-48.411	28.286	-52.000			1.217	131.059	-2.104	-0.777	85.148	-53.065	32.083	-57.618			1.220	129.993	-1.582	-0.548	54.109	-29.943	24.166	-36.160			1.211	127.323	-1.934	-0.643	90.005	-54.915	35.090	-60.725
										2.235	126.694	87.486	59.675	606.424	-241.540	364.884	-520.111													1.824	130.505	64.146	46.688	515.74	-221.221	294.519	-398.973			1.988	119.738	68.670	52.442	604.931	-259.692	345.239	-482.443			1.218	132.069	-2.202	-1.002	76.440	-48.247	28.193	-51.825			1.217	131.081	-2.120	-0.792	85.099	-53.009	32.089	-57.57			1.220	129.986	-1.531	-0.538	54.482	-30.109	24.373	-36.403			1.211	127.331	-1.968	-0.665	89.716	-54.734	34.983	-60.529
										2.211	126.892	86.442	59.330	601.874	-239.938	361.936	-515.158													1.842	130.198	65.522	47.374	521.92	-223.556	298.363	-405.180			1.992	119.771	68.928	52.660	606.188	-260.045	346.143	-483.924			1.218	132.097	-2.233	-1.031	76.206	-48.090	28.116	-51.663			1.217	131.078	-2.120	-0.804	85.024	-52.95	32.074	-57.52			1.220	129.973	-1.481	-0.525	54.821	-30.264	24.557	-36.625			1.211	127.378	-1.999	-0.691	89.493	-54.578	34.915	-60.370
										2.187	127.081	85.435	58.989	597.268	-238.349	358.919	-510.178													1.862	129.845	67.013	48.070	528.395	-225.975	302.420	-411.757			1.994	119.638	69.130	52.946	608.818	-260.882	347.936	-486.279			1.218	132.118	-2.265	-1.042	75.997	-47.947	28.050	-51.515			1.217	131.078	-2.144	-0.816	84.992	-52.9	32.091	-57.485			1.220	129.953	-1.437	-0.499	55.126	-30.409	24.717	-36.822			1.211	127.424	-2.036	-0.721	89.316	-54.448	34.868	-60.237
										2.164	127.247	84.419	58.649	592.744	-236.788	355.956	-505.255													1.882	129.484	68.620	49.382	535.839	-228.772	307.067	-419.420			1.996	119.755	69.263	53.130	609.316	-261.022	348.295	-487.000			1.218	132.093	-2.269	-1.022	75.879	-47.863	28.016	-51.429			1.217	131.066	-2.161	-0.799	84.974	-52.869	32.105	-57.474			1.220	129.937	-1.404	-0.488	55.448	-30.552	24.896	-37.023			1.211	127.483	-2.066	-0.825	89.063	-54.244	34.819	-60.022
										2.142	127.395	83.389	58.299	587.943	-235.173	352.771	-500.121													1.902	129.181	70.019	49.971	542.339	-231.246	311.093	-425.861			2.000	119.766	69.516	53.251	610.780	-261.537	349.243	-488.421			1.218	132.139	-2.364	-1.088	75.360	-47.522	27.837	-51.049			1.217	131.083	-2.150	-0.804	85.019	-52.881	32.138	-57.503			1.220	129.932	-1.367	-0.475	55.779	-30.701	25.078	-37.218			1.211	127.370	-2.040	-0.700	89.069	-54.307	34.762	-60.089
										2.120	127.527	82.327	57.897	583.320	-233.587	349.733	-495.128													1.921	128.857	71.385	50.674	549.015	-233.744	315.271	-432.517			2.003	119.701	69.710	53.683	610.152	-261.095	349.058	-488.916			1.218	132.153	-2.404	-1.092	75.052	-47.320	27.732	-50.833			1.216	131.070	-2.135	-0.765	84.992	-52.877	32.115	-57.507			1.220	129.950	-1.360	-0.431	55.843	-30.701	25.142	-37.255			1.211	127.391	-2.085	-0.707	88.757	-54.111	34.645	-59.877
										2.098	127.652	81.203	57.463	577.911	-231.807	346.104	-489.413													1.941	128.524	72.800	51.456	555.833	-236.31	319.524	-439.349			2.010	119.689	70.233	54.082	612.509	-261.885	350.624	-491.582			1.218	132.174	-2.454	-1.111	74.694	-47.089	27.605	-50.582			1.216	131.086	-2.181	-0.851	84.729	-52.678	32.051	-57.298			1.220	129.955	-1.301	-0.487	56.130	-30.792	25.338	-37.416			1.211	127.408	-2.131	-0.721	88.487	-53.943	34.544	-59.688
										2.066	127.834	79.520	56.798	571.590	-229.629	341.961	-482.241													1.963	128.166	74.305	52.379	563.163	-239.045	324.118	-446.701			2.008	119.584	70.102	54.079	614.618	-262.330	352.288	-493.095			1.218	132.193	-2.499	-1.125	74.359	-46.877	27.482	-50.352			1.216	131.098	-2.193	-0.798	84.758	-52.695	32.062	-57.323			1.220	129.961	-1.290	-0.408	56.353	-30.920	25.433	-37.571			1.212	127.406	-2.225	-0.799	88.022	-53.645	34.377	-59.341
										2.035	128.769	77.903	55.659	558.423	-225.096	333.327	-470.128													1.987	127.788	75.910	53.312	570.842	-241.953	328.889	-454.490			2.012	119.636	70.457	54.220	616.494	-263.016	353.478	-494.906			1.218	132.203	-2.545	-1.137	74.033	-46.673	27.360	-50.122			1.216	131.125	-2.218	-0.809	84.629	-52.601	32.028	-57.227			1.221	129.869	-1.240	-0.340	56.762	-31.142	25.619	-37.857			1.211	127.504	-2.211	-0.854	88.060	-53.616	34.444	-59.343
										1.986	129.225	75.038	54.454	546.108	-220.800	325.308	-456.989													2.011	127.445	77.408	54.125	578.295	-244.785	333.510	-461.899			2.016	119.648	70.756	54.275	616.867	-263.259	353.609	-495.492			1.218	132.210	-2.593	-1.148	73.713	-46.468	27.245	-49.898			1.216	131.203	-2.214	-0.858	84.428	-52.449	31.979	-57.102			1.221	129.894	-1.170	-0.359	57.140	-31.304	25.837	-38.099			1.212	127.406	-2.184	-0.808	87.893	-53.552	34.341	-59.275
