CO_{2}	CO_{2}	CO_{2} - BH3	CO_{2} - BH3	CO_{2} - BH3						BH_{3}	BH_{3}	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - Add-CO2	BH_{3} - Add-CO2	BH_{3} - Add-CO2			AlH_{3}	AlH_{3}	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2			NMe_{3}	NMe_{3}	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2			PMe_{3}	PMe_{3}	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2			NCB	NCB	NCB - BH3	NCB - BH3	NCB - BH3	NCB - Add-CO2	NCB - Add-CO2	NCB - Add-CO2			NCAl	NCAl	NCAl - BH3	NCAl - BH3	NCAl - BH3	NCAl - Add-CO2	NCAl - Add-CO2	NCAl - Add-CO2			PCB	PCB	PCB - BH3	PCB - BH3	PCB - BH3	PCB - Add-CO2	PCB - Add-CO2	PCB - Add-CO2			PCAl	PCAl	PCAl - BH3	PCAl - BH3	PCAl - BH3	PCAl - Add-CO2	PCAl - Add-CO2	PCAl - Add-CO2
BH distance	OCO angle	Strain	Interaction	Total Energy						BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy
										2.120	127.527	141.150	-147.157	-6.007																1.921	128.857	123.365	-121.101	2.264	10.352	-7.746	2.605			2.003	119.701	156.768	-143.174	13.594	42.560	-28.902	13.658			1.218	132.153	11.999	-26.458	-14.459	69.338	-83.961	-14.699			1.216	131.070	13.772	-28.523	-14.751	71.819	-86.674	-14.855			1.220	129.950	8.154	-15.769	-7.616	80.819	-88.535	-7.715			1.211	127.391	14.095	-28.472	-14.377	86.636	-101.059	-14.423
										2.098	127.652	139.592	-145.083	-5.491																1.941	128.524	125.561	-123.682	1.879	9.938	-7.691	2.247			2.010	119.689	157.690	-144.267	13.423	42.479	-28.995	13.484			1.218	132.174	11.930	-26.338	-14.407	69.291	-83.824	-14.608			1.216	131.086	13.640	-28.381	-14.740	71.840	-86.713	-14.873			1.220	129.955	8.156	-15.735	-7.579	80.863	-88.544	-7.681			1.211	127.408	14.036	-28.388	-14.352	86.581	-100.974	-14.393
										2.066	127.834	137.244	-142.071	-4.827																1.963	128.166	127.989	-126.441	1.549	9.511	-7.634	1.876			2.008	119.584	157.556	-144.115	13.440	42.631	-29.156	13.475			1.218	132.193	11.872	-26.235	-14.364	69.201	-83.697	-14.572			1.216	131.098	13.681	-28.394	-14.713	71.797	-86.609	-14.812			1.220	129.961	8.247	-15.796	-7.549	80.836	-88.477	-7.641			1.212	127.406	13.864	-28.212	-14.348	86.663	-101.029	-14.366
										2.035	128.769	134.487	-138.608	-4.121																1.987	127.788	130.527	-129.460	1.067	8.950	-7.571	1.379			2.012	119.636	158.052	-144.732	13.320	42.489	-29.122	13.368			1.218	132.203	11.813	-26.131	-14.318	69.153	-83.569	-14.493			1.216	131.125	13.645	-28.333	-14.688	71.705	-86.496	-14.791			1.221	129.869	8.365	-15.896	-7.531	81.039	-88.675	-7.636			1.211	127.504	13.823	-28.148	-14.325	86.479	-100.784	-14.305
										1.986	129.225	130.418	-133.508	-3.090																2.011	127.445	132.838	-132.249	0.589	8.430	-7.515	0.914			2.016	119.648	158.406	-145.184	13.222	42.234	-28.963	13.272			1.218	132.210	11.754	-26.025	-14.271	69.139	-83.496	-14.433			1.216	131.203	13.600	-28.258	-14.658	71.586	-86.344	-14.757			1.221	129.894	8.416	-15.921	-7.506	81.104	-88.711	-7.608			1.212	127.406	13.896	-28.188	-14.292	86.777	-101.058	-14.281
										1.936	129.907	125.861	-127.871	-2.009																2.036	127.054	135.369	-135.395	-0.027	7.899	-7.459	0.440			2.018	119.598	159.095	-145.975	13.120	42.521	-29.317	13.204			1.218	132.226	11.695	-25.927	-14.232	69.050	-83.360	-14.386			1.217	131.058	13.665	-28.312	-14.647	71.754	-86.481	-14.727			1.221	129.889	8.494	-15.971	-7.477	81.224	-88.805	-7.580			1.212	127.483	13.804	-28.103	-14.299	86.512	-100.785	-14.273
										1.886	130.646	120.894	-121.870	-0.976																2.059	126.715	137.556	-138.022	-0.466	7.345	-7.402	-0.057			2.021	119.555	159.454	-146.370	13.085	42.282	-29.115	13.167			1.217	132.214	11.630	-25.825	-14.195	69.035	-83.324	-14.364			1.216	131.113	13.588	-28.224	-14.636	71.662	-86.388	-14.726			1.221	129.959	8.549	-15.993	-7.444	81.206	-88.764	-7.558			1.211	127.431	13.839	-28.121	-14.282	86.540	-100.814	-14.274
										1.837	131.411	115.716	-115.705	0.010																2.082	126.472	139.308	-140.329	-1.021	6.701	-7.310	-0.609			2.025	119.530	160.217	-147.213	13.004	42.411	-29.322	13.089			1.217	132.210	11.579	-25.740	-14.161	68.986	-83.287	-14.377			1.215	131.126	13.557	-28.180	-14.623	71.601	-86.290	-14.689			1.222	129.898	8.650	-16.075	-7.424	81.391	-88.905	-7.514			1.211	127.463	13.793	-28.039	-14.247	86.478	-100.724	-14.246
										1.790	132.182	110.518	-109.588	0.930																2.101	126.170	141.087	-142.568	-1.481	6.229	-7.269	-1.041			2.027	119.505	160.308	-147.350	12.958	42.031	-28.989	13.042			1.217	132.193	11.523	-25.653	-14.130	68.975	-83.279	-14.380			1.215	131.142	13.533	-28.121	-14.587	71.510	-86.158	-14.648			1.220	129.848	8.605	-16.020	-7.415	81.160	-88.665	-7.505			1.211	127.517	13.730	-27.936	-14.206	86.347	-100.580	-14.233
										1.743	132.983	105.170	-103.370	1.800																2.120	125.898	142.780	-144.681	-1.902	5.762	-7.229	-1.468			2.030	119.483	160.784	-147.954	12.830	41.984	-29.041	12.943			1.218	132.139	11.629	-25.711	-14.082	68.969	-83.132	-14.239			1.215	131.134	13.536	-28.105	-14.569	71.662	-86.290	-14.628			1.222	129.911	8.659	-16.048	-7.389	81.110	-88.612	-7.501			1.211	127.393	13.783	-27.957	-14.174	86.584	-100.780	-14.196
										1.701	133.771	99.959	-97.450	2.509																2.140	125.630	144.491	-146.894	-2.403	5.224	-7.181	-1.957			2.035	119.407	161.376	-148.642	12.734	42.117	-29.272	12.845			1.217	132.275	11.532	-25.594	-14.062	68.808	-82.981	-14.248			1.215	131.143	13.540	-28.095	-14.555	71.606	-86.238	-14.631			1.221	129.915	8.714	-16.072	-7.357	81.122	-88.622	-7.500			1.211	127.408	13.703	-27.846	-14.143	86.528	-100.692	-14.164
										1.663	134.524	95.126	-91.929	3.197																2.161	125.368	146.211	-149.145	-2.934	4.637	-7.136	-2.498			2.037	119.407	161.707	-149.056	12.651	41.971	-29.217	12.754			1.217	132.261	11.416	-25.441	-14.024	68.918	-83.038	-14.196			1.215	131.141	13.566	-28.090	-14.524	71.650	-86.236	-14.586			1.222	129.934	8.775	-16.102	-7.327	81.135	-88.605	-7.470			1.211	127.403	13.651	-27.765	-14.114	86.498	-100.621	-14.122
										1.627	135.258	90.569	-86.751	3.818																2.182	125.099	147.955	-151.423	-3.468	4.018	-7.096	-3.077			2.042	119.398	162.193	-149.671	12.522	41.704	-29.095	12.609			1.217	132.272	11.389	-25.350	-13.961	68.782	-82.890	-14.184			1.215	131.114	13.554	-28.049	-14.495	71.630	-86.200	-14.571			1.220	129.963	8.831	-16.093	-7.262	81.099	-88.539	-7.440			1.211	127.396	13.609	-27.692	-14.083	86.486	-100.572	-14.086
										1.594	136.017	86.010	-81.726	4.284																2.204	124.842	149.651	-153.660	-4.009	3.381	-7.054	-3.673			2.046	119.361	162.751	-150.306	12.445	41.688	-29.163	12.525			1.217	132.203	11.434	-25.378	-13.944	68.921	-82.973	-14.128			1.215	131.113	13.537	-28.001	-14.464	71.577	-86.118	-14.540			1.223	129.850	8.931	-16.227	-7.296	81.335	-88.757	-7.422			1.211	127.396	13.564	-27.618	-14.054	86.425	-100.481	-14.057
										1.564	136.753	81.806	-77.062	4.744																2.222	124.640	150.943	-155.561	-4.619	2.861	-7.028	-4.166			2.048	119.378	162.849	-150.510	12.340	41.325	-28.898	12.428			1.217	132.282	11.293	-25.184	-13.891	68.634	-82.662	-14.104			1.215	131.235	13.477	-27.894	-14.417	71.497	-85.998	-14.501			1.222	129.851	9.043	-16.269	-7.226	81.340	-88.751	-7.411			1.211	127.468	13.504	-27.523	-14.019	86.414	-100.438	-14.024
										1.535	137.520	77.671	-72.385	5.286																2.237	124.425	152.212	-157.272	-5.060	2.415	-7.002	-4.587			2.051	119.331	163.373	-151.060	12.313	41.467	-29.078	12.389			1.217	132.379	11.237	-25.103	-13.866	68.650	-82.669	-14.095			1.215	131.177	13.499	-27.897	-14.398	71.449	-85.949	-14.500			1.222	129.836	9.138	-16.336	-7.198	81.389	-88.772	-7.383			1.211	127.474	13.443	-27.440	-13.998	86.331	-100.329	-13.999
										1.507	138.366	73.284	-67.550	5.734																2.255	124.468	153.472	-158.824	-5.352	1.860	-6.952	-5.091			2.056	119.296	163.971	-151.772	12.199	41.371	-29.122	12.249			1.217	132.383	11.152	-24.932	-13.781	68.513	-82.503	-14.066			1.214	131.180	13.484	-27.852	-14.368	71.433	-85.908	-14.475			1.223	129.804	9.342	-16.503	-7.161	81.493	-88.826	-7.333			1.211	127.500	13.382	-27.336	-13.954	86.273	-100.252	-13.978
										1.479	139.290	68.598	-62.526	6.072																2.259	124.167	154.187	-159.897	-5.710	1.583	-7.039	-5.456			2.060	119.339	164.281	-152.187	12.094	41.192	-29.034	12.158			1.217	132.409	11.067	-24.789	-13.722	68.467	-82.404	-14.013			1.214	131.179	13.460	-27.801	-14.341	71.431	-85.877	-14.446			1.223	129.792	9.431	-16.559	-7.128	81.536	-88.850	-7.314			1.211	127.515	13.316	-27.255	-13.939	86.154	-100.108	-13.954
										1.450	140.440	63.289	-56.648	6.641																2.268	124.055	154.831	-160.855	-6.024	1.205	-7.029	-5.824			2.060	119.259	164.417	-152.322	12.094	41.129	-28.960	12.169			1.217	132.442	10.991	-24.658	-13.667	68.405	-82.286	-13.957			1.214	131.227	13.369	-27.679	-14.309	71.373	-85.772	-14.399			1.223	129.781	9.510	-16.604	-7.094	81.612	-88.892	-7.280			1.211	127.507	13.267	-27.174	-13.907	86.210	-100.121	-13.911
										1.422	141.697	57.679	-50.612	7.067																2.274	123.936	155.224	-161.467	-6.243	0.885	-6.964	-6.078			2.063	119.165	165.038	-153.020	12.018	41.097	-29.029	12.067			1.217	132.481	10.907	-24.534	-13.627	68.326	-82.163	-13.913			1.214	131.269	13.330	-27.591	-14.262	71.260	-85.598	-14.339			1.223	129.770	9.583	-16.642	-7.059	81.656	-88.927	-7.270			1.211	127.463	13.296	-27.187	-13.891	86.260	-100.160	-13.900
										1.395	143.045	52.159	-44.602	7.557																2.279	123.843	155.619	-162.164	-6.545	0.708	-6.970	-6.262			2.067	119.219	165.607	-153.684	11.923	41.019	-29.062	11.957			1.217	132.528	10.841	-24.430	-13.588	68.227	-81.993	-13.842			1.214	131.298	13.259	-27.465	-14.206	71.239	-85.526	-14.287			1.222	129.774	9.639	-16.659	-7.020	81.719	-88.948	-7.229			1.211	127.461	13.241	-27.101	-13.860	86.222	-100.107	-13.885
										1.371	144.458	46.893	-38.799	8.094																2.285	123.765	156.080	-162.878	-6.799	0.415	-6.974	-6.559			2.067	119.225	165.731	-153.832	11.899	41.215	-29.310	11.905			1.217	132.580	10.783	-24.332	-13.549	68.116	-81.855	-13.815			1.213	131.356	13.202	-27.329	-14.127	71.084	-85.303	-14.219			1.224	129.748	9.798	-16.800	-7.003	81.715	-88.889	-7.174			1.211	127.455	13.208	-27.030	-13.822	86.209	-100.044	-13.835
										1.348	145.989	41.858	-33.284	8.574																2.289	123.661	156.603	-163.448	-6.845	0.167	-6.974	-6.806			2.070	119.177	166.299	-154.478	11.820	41.200	-29.363	11.837			1.217	132.650	10.720	-24.238	-13.518	67.989	-81.693	-13.780			1.213	131.381	13.160	-27.207	-14.047	71.035	-85.168	-14.133			1.224	129.739	9.882	-16.853	-6.971	81.768	-88.915	-7.147			1.211	127.459	13.156	-26.943	-13.787	86.197	-100.014	-13.817
										1.328	147.481	37.379	-28.465	8.914																2.291	123.616	156.510	-163.309	-6.800	0.165	-6.938	-6.772			2.071	119.258	166.303	-154.513	11.790	41.289	-29.495	11.794			1.216	132.605	10.792	-24.276	-13.484	67.768	-81.445	-13.753			1.213	131.436	13.107	-27.072	-13.965	70.908	-84.974	-14.066			1.224	129.724	10.041	-16.968	-6.927	81.770	-88.888	-7.118			1.211	127.474	13.088	-26.835	-13.747	86.258	-100.015	-13.757
										1.310	149.042	33.388	-24.172	9.215																2.295	123.637	156.174	-163.482	-7.308	-0.059	-6.919	-6.978			2.073	119.286	166.626	-154.907	11.718	41.207	-29.508	11.700			1.216	132.613	10.651	-24.108	-13.457	67.984	-81.633	-13.725			1.213	131.441	13.049	-26.939	-13.890	70.888	-84.894	-14.006			1.224	129.721	10.136	-17.042	-6.906	81.786	-88.873	-7.087			1.211	127.482	13.019	-26.740	-13.721	86.141	-99.886	-13.746
										1.295	150.489	30.056	-20.678	9.377																2.296	123.608	157.145	-164.186	-7.041	-0.024	-6.948	-6.972			2.077	119.206	167.359	-155.781	11.577	41.253	-29.721	11.532			1.216	132.606	10.619	-24.046	-13.427	67.977	-81.597	-13.696			1.213	131.438	12.954	-26.773	-13.819	70.881	-84.793	-13.912			1.225	129.720	10.328	-17.187	-6.859	81.761	-88.816	-7.055			1.211	127.541	12.955	-26.659	-13.704	85.896	-99.612	-13.717
										1.280	152.409	26.119	-16.699	9.420																2.299	123.626	156.741	-164.142	-7.401	-0.259	-6.925	-7.185			2.080	119.161	167.595	-156.041	11.554	41.003	-29.474	11.530			1.216	132.621	10.596	-23.981	-13.385	67.892	-81.496	-13.680			1.212	131.471	12.833	-26.576	-13.742	70.769	-84.602	-13.833			1.225	129.680	10.409	-17.206	-6.797	81.929	-88.939	-7.010			1.211	127.514	12.917	-26.594	-13.677	85.918	-99.606	-13.689
										1.280	152.409	26.119	-16.699	9.420																2.301	123.589	156.527	-164.096	-7.569	-0.223	-6.949	-7.172			2.079	119.011	167.906	-156.411	11.495	41.196	-29.696	11.500			1.216	132.649	10.532	-23.895	-13.363	67.775	-81.375	-13.676			1.212	131.506	12.749	-26.422	-13.673	70.669	-84.431	-13.762			1.225	129.608	10.502	-17.261	-6.760	82.169	-89.160	-6.991			1.211	127.502	12.889	-26.531	-13.642	85.800	-99.477	-13.677
										1.268	154.120	23.025	-13.691	9.334																2.304	123.477	157.011	-164.673	-7.663	-0.292	-6.962	-7.254			2.082	118.985	168.237	-156.809	11.428	41.071	-29.653	11.418			1.216	132.732	10.411	-23.744	-13.333	67.582	-81.137	-13.631			1.212	131.547	12.670	-26.287	-13.617	70.503	-84.245	-13.742			1.226	129.576	10.671	-17.390	-6.720	82.234	-89.166	-6.931			1.211	127.592	12.867	-26.484	-13.617	85.892	-99.549	-13.657
										1.255	156.208	19.634	-10.522	9.111																2.306	123.471	157.066	-164.830	-7.764	-0.375	-6.987	-7.362			2.086	118.959	168.328	-156.989	11.338	40.921	-29.595	11.326			1.216	132.752	10.383	-23.690	-13.306	67.455	-80.962	-13.583			1.212	131.596	12.605	-26.165	-13.560	70.347	-84.044	-13.697			1.226	129.527	10.821	-17.492	-6.671	82.365	-89.246	-6.882			1.211	127.595	12.843	-26.413	-13.570	85.768	-99.389	-13.620
										1.247	157.824	17.250	-8.475	8.775																2.310	123.502	157.217	-165.164	-7.947	-0.544	-6.974	-7.518			2.087	119.046	168.653	-157.390	11.263	41.051	-29.760	11.291			1.216	132.728	10.292	-23.563	-13.271	67.557	-81.022	-13.541			1.212	131.627	12.563	-26.060	-13.497	70.250	-83.904	-13.654			1.227	129.473	10.944	-17.567	-6.623	82.523	-89.352	-6.828			1.211	127.627	12.807	-26.350	-13.543	85.677	-99.272	-13.594
										1.239	159.630	14.841	-6.527	8.314																2.314	123.465	157.765	-165.652	-7.887	-0.564	-6.971	-7.536			2.089	118.996	168.738	-157.541	11.197	41.198	-29.957	11.241			1.216	132.740	10.207	-23.464	-13.256	67.528	-80.972	-13.520			1.212	131.663	12.498	-25.945	-13.448	70.187	-83.779	-13.591			1.227	129.504	11.170	-17.736	-6.566	82.505	-89.265	-6.760			1.211	127.684	12.792	-26.300	-13.508	85.527	-99.076	-13.549
										1.232	161.542	12.603	-4.859	7.744																2.316	123.452	157.654	-165.922	-8.269	-0.836	-6.975	-7.811			2.092	119.072	168.810	-157.680	11.130	41.025	-29.870	11.155			1.216	132.778	10.135	-23.365	-13.230	67.397	-80.823	-13.502			1.212	131.702	12.437	-25.826	-13.389	70.110	-83.641	-13.531			1.228	129.495	11.423	-17.920	-6.497	82.503	-89.162	-6.659			1.211	127.650	12.653	-26.125	-13.473	85.635	-99.153	-13.519
										1.226	163.599	10.434	-3.392	7.042																2.318	123.359	158.040	-166.149	-8.109	-0.790	-6.998	-7.788			2.091	119.163	168.946	-157.823	11.123	41.107	-29.991	11.116			1.215	132.779	10.099	-23.281	-13.181	67.428	-80.806	-13.455			1.212	131.725	12.373	-25.727	-13.353	70.108	-83.544	-13.436			1.227	129.406	11.857	-18.217	-6.360	83.100	-89.634	-6.534			1.211	127.643	12.614	-26.049	-13.434	85.630	-99.084	-13.454
										1.220	165.719	8.504	-2.234	6.270																2.321	123.325	158.253	-166.513	-8.260	-0.934	-7.010	-7.943			2.095	119.008	169.579	-158.553	11.026	41.142	-30.088	11.054			1.216	132.770	10.045	-23.208	-13.163	67.399	-80.757	-13.434			1.212	131.732	12.331	-25.650	-13.319	70.106	-83.490	-13.384			1.229	129.287	12.120	-18.371	-6.252	83.012	-89.428	-6.416			1.211	127.653	12.574	-25.969	-13.395	85.579	-99.000	-13.420
										1.215	167.903	6.886	-1.397	5.490																2.324	123.157	158.798	-167.148	-8.349	-1.045	-7.012	-8.057			2.100	119.014	170.076	-159.211	10.866	41.080	-30.177	10.902			1.216	132.749	10.016	-23.145	-13.129	67.439	-80.754	-13.391			1.212	131.743	12.275	-25.577	-13.302	70.074	-83.422	-13.348			1.230	129.251	12.588	-18.693	-6.104	83.229	-89.460	-6.232			1.211	127.668	12.534	-25.893	-13.359	85.541	-98.920	-13.379
										1.213	169.615	5.775	-1.089	4.686																2.328	123.111	159.232	-167.731	-8.499	-1.166	-7.020	-8.186			2.105	119.027	170.499	-159.775	10.723	40.697	-29.954	10.743			1.215	132.817	9.937	-23.023	-13.086	67.199	-80.498	-13.375			1.211	131.755	12.239	-25.501	-13.262	70.065	-83.343	-13.279			1.231	129.167	13.005	-18.983	-5.978	83.439	-89.517	-6.078			1.211	127.682	12.546	-25.871	-13.326	85.524	-98.863	-13.339
										1.207	172.613	4.326	-0.394	3.932																2.330	123.078	159.417	-168.071	-8.654	-1.357	-6.996	-8.353			2.109	119.060	170.888	-160.268	10.620	40.428	-29.817	10.610			1.216	132.771	9.946	-22.986	-13.041	67.338	-80.570	-13.308			1.211	131.771	12.201	-25.427	-13.226	70.018	-83.239	-13.221			1.232	129.095	13.417	-19.261	-5.845	83.616	-89.549	-5.933			1.211	127.723	12.421	-25.725	-13.304	85.352	-98.673	-13.321
										1.206	173.739	3.731	-0.380	3.351																2.331	123.069	159.774	-168.492	-8.719	-1.429	-7.016	-8.445			2.112	119.032	171.088	-160.561	10.527	40.352	-29.840	10.511			1.216	132.848	9.836	-22.851	-13.015	67.137	-80.337	-13.276			1.211	131.798	12.134	-25.356	-13.222	69.985	-83.179	-13.194			1.233	129.029	13.789	-19.532	-5.742	83.791	-89.603	-5.812			1.211	127.694	12.310	-25.588	-13.279	85.452	-98.747	-13.295
										1.205	174.608	3.254	-0.407	2.847																2.333	123.193	159.870	-168.730	-8.860	-1.504	-7.057	-8.562			2.114	119.027	171.386	-160.917	10.469	40.628	-30.166	10.461			1.216	132.848	9.761	-22.749	-12.988	67.063	-80.224	-13.236			1.211	131.814	12.091	-25.292	-13.201	69.875	-83.117	-13.243			1.234	128.902	14.277	-19.862	-5.585	84.041	-89.696	-5.655			1.211	127.724	12.291	-25.498	-13.207	85.330	-98.591	-13.260
										1.204	175.385	2.894	-0.488	2.406																2.333	123.097	160.004	-169.045	-9.041	-1.598	-7.082	-8.679			2.117	119.027	171.653	-161.292	10.361	40.374	-30.045	10.329			1.215	132.907	9.720	-22.674	-12.953	67.037	-80.172	-13.211			1.211	131.823	12.068	-25.237	-13.169	69.837	-83.068	-13.230			1.235	128.816	14.728	-20.176	-5.448	84.244	-89.761	-5.517			1.211	127.736	12.221	-25.387	-13.166	85.346	-98.562	-13.216
										1.203	176.087	2.557	-0.578	1.979																2.336	123.161	160.169	-169.234	-9.065	-1.678	-7.051	-8.729			2.120	119.035	171.826	-161.602	10.224	40.299	-30.068	10.230			1.216	132.939	9.657	-22.577	-12.920	66.914	-80.013	-13.175			1.211	131.763	12.038	-25.180	-13.142	69.952	-83.160	-13.209			1.236	128.739	15.141	-20.447	-5.305	84.397	-89.791	-5.395			1.211	127.739	12.178	-25.306	-13.128	85.317	-98.498	-13.182
										1.202	176.646	2.293	-0.683	1.610																2.339	123.034	160.532	-169.849	-9.317	-1.867	-7.062	-8.929			2.122	119.162	171.954	-161.807	10.147	40.285	-30.114	10.170			1.215	132.904	9.629	-22.540	-12.911	67.026	-80.080	-13.131			1.211	131.756	12.092	-25.225	-13.133	69.873	-83.066	-13.193			1.237	128.656	15.564	-20.723	-5.158	84.578	-89.826	-5.248			1.210	127.734	12.160	-25.255	-13.094	85.305	-98.449	-13.144
										1.202	177.114	2.094	-0.822	1.272																2.341	123.106	160.645	-169.969	-9.324	-1.917	-7.049	-8.965			2.125	119.105	172.327	-162.267	10.060	40.091	-30.016	10.075			1.215	133.003	9.536	-22.433	-12.897	66.886	-79.927	-13.118			1.212	131.867	12.005	-25.120	-13.115	69.657	-82.846	-13.190			1.238	128.542	16.030	-20.984	-4.954	84.974	-90.015	-5.040			1.211	127.781	12.067	-25.131	-13.065	85.213	-98.328	-13.116
										1.201	177.476	1.906	-0.957	0.950																2.343	123.081	160.627	-170.136	-9.509	-2.095	-7.065	-9.160			2.128	119.009	172.668	-162.690	9.978	40.122	-30.147	9.976			1.215	133.009	9.517	-22.361	-12.844	66.836	-79.835	-13.075			1.211	131.866	11.791	-24.875	-13.084	69.731	-82.854	-13.124			1.239	128.600	16.503	-21.333	-4.831	84.766	-89.672	-4.906			1.210	127.777	12.022	-25.053	-13.030	85.205	-98.285	-13.081
										1.201	177.750	1.745	-1.095	0.650																2.345	123.083	160.620	-170.281	-9.661	-2.284	-7.074	-9.358			2.131	119.044	173.083	-163.203	9.880	40.098	-30.226	9.872			1.215	133.039	9.451	-22.265	-12.814	66.774	-79.734	-13.036			1.211	131.879	11.820	-24.882	-13.062	69.683	-82.760	-13.077			1.242	128.411	17.523	-21.997	-4.474	85.023	-89.643	-4.619			1.211	127.783	11.941	-24.937	-12.996	85.168	-98.218	-13.050
										1.201	177.977	1.620	-1.227	0.393																2.350	122.952	161.366	-171.113	-9.746	-2.388	-7.084	-9.471			2.134	119.059	173.175	-163.428	9.747	39.508	-29.793	9.715			1.215	133.051	9.390	-22.190	-12.800	66.768	-79.675	-12.983			1.211	131.895	11.790	-24.819	-13.028	69.617	-82.670	-13.053			1.244	128.213	18.575	-22.681	-4.106	85.306	-89.523	-4.217			1.210	127.791	11.950	-24.914	-12.964	85.160	-98.194	-13.033
										1.200	178.182	1.411	-1.346	0.065																2.352	122.986	161.444	-171.349	-9.905	-2.596	-7.090	-9.686			2.137	119.072	173.392	-163.792	9.601	39.402	-29.818	9.584			1.215	133.097	9.352	-22.099	-12.747	66.728	-79.589	-12.937			1.211	131.911	11.777	-24.773	-12.995	69.524	-82.519	-12.995			1.247	127.996	19.721	-23.413	-3.693	85.525	-89.372	-3.847			1.211	127.838	11.812	-24.746	-12.933	85.002	-98.000	-12.998
										1.200	178.367	1.304	-1.456	-0.151																2.355	122.960	161.703	-171.697	-9.994	-2.753	-7.090	-9.842			2.141	119.031	173.909	-164.451	9.458	39.417	-29.949	9.468			1.215	133.143	9.316	-22.025	-12.709	66.637	-79.453	-12.892			1.211	131.925	11.660	-24.629	-12.969	69.645	-82.613	-12.968			1.250	127.763	20.932	-24.197	-3.266	85.759	-89.229	-3.470			1.210	127.822	11.797	-24.701	-12.904	84.992	-97.965	-12.972
										1.200	178.510	1.208	-1.554	-0.346																2.357	122.891	161.873	-172.017	-10.144	-2.874	-7.109	-9.982			2.142	118.945	174.184	-164.793	9.390	39.177	-29.795	9.382			1.215	133.104	9.247	-21.970	-12.723	66.516	-79.326	-12.885			1.210	131.912	11.642	-24.596	-12.954	69.588	-82.513	-12.925			1.253	127.537	22.120	-25.006	-2.886	85.988	-89.031	-3.042			1.210	127.819	11.745	-24.608	-12.863	84.931	-97.871	-12.940
										1.200	178.629	1.141	-1.648	-0.507																2.359	122.935	162.205	-172.466	-10.261	-2.952	-7.143	-10.095			2.145	118.964	174.677	-165.408	9.268	39.166	-29.906	9.260			1.215	133.077	9.277	-21.978	-12.701	66.644	-79.428	-12.860			1.211	131.945	11.654	-24.562	-12.909	69.533	-82.444	-12.910			1.257	127.346	23.321	-25.847	-2.526	86.154	-88.803	-2.649			1.211	127.800	11.712	-24.536	-12.824	84.918	-97.796	-12.878
										1.200	178.687	1.091	-1.743	-0.652																2.360	122.838	162.422	-172.692	-10.270	-3.039	-7.161	-10.200			2.148	118.963	175.077	-165.916	9.161	39.115	-29.941	9.174			1.215	133.092	9.241	-21.909	-12.668	66.584	-79.332	-12.824			1.211	131.959	11.602	-24.487	-12.885	69.508	-82.387	-12.879			1.260	127.138	24.410	-26.597	-2.187	86.242	-88.539	-2.297			1.210	127.764	11.738	-24.523	-12.785	84.818	-97.661	-12.843
										1.200	178.691	1.063	-1.823	-0.760																2.362	122.667	162.838	-173.309	-10.472	-3.101	-7.237	-10.338			2.150	118.935	175.424	-166.370	9.053	38.853	-29.789	9.064			1.215	133.107	9.210	-21.848	-12.638	66.537	-79.258	-12.797			1.211	131.976	11.571	-24.427	-12.855	69.461	-82.310	-12.849			1.264	126.890	25.703	-27.496	-1.793	86.349	-88.250	-1.901			1.209	127.748	11.678	-24.444	-12.766	85.128	-97.956	-12.828
										1.200	178.752	1.023	-1.895	-0.872																2.364	122.647	162.858	-173.435	-10.577	-3.200	-7.235	-10.435			2.152	118.935	175.666	-166.687	8.979	39.125	-30.089	9.035			1.215	133.137	9.158	-21.765	-12.607	66.417	-79.108	-12.767			1.211	131.989	11.537	-24.367	-12.830	69.420	-82.240	-12.820			1.269	126.643	27.069	-28.417	-1.348	86.338	-87.834	-1.497			1.210	127.878	11.647	-24.371	-12.724	84.868	-97.693	-12.825
