CO_{2}	CO_{2}	CO_{2} - BH3	CO_{2} - BH3	CO_{2} - BH3						BH_{3}	BH_{3}	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - Add-CO2	BH_{3} - Add-CO2	BH_{3} - Add-CO2			AlH_{3}	AlH_{3}	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2			NMe_{3}	NMe_{3}	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2			PMe_{3}	PMe_{3}	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2			NCB	NCB	NCB - BH3	NCB - BH3	NCB - BH3	NCB - Add-CO2	NCB - Add-CO2	NCB - Add-CO2			NCAl	NCAl	NCAl - BH3	NCAl - BH3	NCAl - BH3	NCAl - Add-CO2	NCAl - Add-CO2	NCAl - Add-CO2			PCB	PCB	PCB - BH3	PCB - BH3	PCB - BH3	PCB - Add-CO2	PCB - Add-CO2	PCB - Add-CO2			PCAl	PCAl	PCAl - BH3	PCAl - BH3	PCAl - BH3	PCAl - Add-CO2	PCAl - Add-CO2	PCAl - Add-CO2
BH distance	OCO angle	Strain	Interaction	Total Energy						BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy
2.471	124.577	165.006	-173.230	-8.224						2.558	120.269	185.897	-216.538	-30.641						2.453	124.193	158.758	-181.129	-22.371						1.200	169.948	1.489	-5.549	-4.060	5.426	-9.023	-3.597			1.235	135.478	34.709	-29.394	5.315	53.725	-48.105	5.620			1.217	131.179	15.486	-32.813	-17.327	74.192	-91.783	-17.666			1.233	130.073	16.722	-33.938	-17.216	75.605	-92.832	-17.227			1.220	128.963	9.659	-19.997	-10.339	81.722	-92.114	-10.393			1.210	126.615	16.807	-33.385	-16.578	88.991	-105.565	-16.574
2.414	124.807	162.849	-170.142	-7.293						2.557	120.326	185.670	-216.314	-30.644						2.452	124.094	158.858	-181.134	-22.276						1.200	169.856	1.510	-5.554	-4.044	5.478	-9.053	-3.574			1.236	135.437	34.925	-29.475	5.449	53.821	-48.098	5.723			1.217	131.113	15.523	-32.842	-17.320	74.260	-91.825	-17.640			1.233	130.061	16.756	-33.963	-17.207	75.570	-92.818	-17.249			1.220	128.993	9.599	-19.914	-10.315	81.687	-92.056	-10.369			1.210	126.604	16.806	-33.372	-16.566	89.054	-105.622	-16.568
2.356	125.121	160.302	-166.470	-6.167						2.556	120.355	185.631	-216.253	-30.622						2.451	124.129	158.667	-180.761	-22.094						1.200	169.818	1.496	-5.544	-4.048	5.486	-9.059	-3.573			1.236	135.342	35.132	-29.556	5.576	53.998	-48.128	5.870			1.217	131.105	15.517	-32.831	-17.314	74.263	-91.808	-17.621			1.233	130.067	16.756	-33.957	-17.201	75.596	-92.834	-17.238			1.219	129.006	9.582	-19.880	-10.298	81.617	-91.972	-10.355			1.210	126.581	16.786	-33.345	-16.560	89.029	-105.592	-16.563
2.296	125.566	157.325	-162.273	-4.948						2.556	120.387	185.614	-216.197	-30.583						2.448	124.177	158.405	-180.350	-21.946						1.201	169.850	1.506	-5.528	-4.021	5.481	-9.039	-3.558			1.236	135.290	35.379	-29.672	5.706	53.885	-47.922	5.963			1.217	131.166	15.489	-32.789	-17.300	74.209	-91.742	-17.609			1.233	130.080	16.726	-33.922	-17.196	75.641	-92.838	-17.197			1.220	129.014	9.539	-19.804	-10.265	81.588	-91.912	-10.323			1.210	126.665	16.764	-33.324	-16.561	88.969	-105.543	-16.574
2.239	126.029	154.049	-157.746	-3.697						2.556	120.408	185.545	-216.124	-30.580						2.447	124.203	158.237	-180.067	-21.830						1.200	169.894	1.499	-5.514	-4.015	5.459	-9.009	-3.550			1.236	135.229	35.483	-29.723	5.760	54.036	-48.038	5.998			1.217	131.180	15.527	-32.820	-17.293	74.180	-91.686	-17.582			1.232	130.079	16.699	-33.885	-17.185	75.679	-92.872	-17.193			1.220	129.049	9.492	-19.735	-10.243	81.570	-91.863	-10.293			1.209	126.667	16.760	-33.316	-16.556	89.024	-105.586	-16.561
2.182	126.574	150.295	-152.782	-2.486						2.554	120.416	185.500	-216.091	-30.591						2.446	124.320	157.665	-179.356	-21.691						1.200	169.914	1.486	-5.506	-4.020	5.453	-8.999	-3.545			1.237	135.173	35.681	-29.809	5.872	54.133	-48.017	6.116			1.217	131.209	15.472	-32.750	-17.278	74.074	-91.583	-17.585			1.233	130.072	16.670	-33.841	-17.171	75.723	-92.906	-17.182			1.219	129.097	9.428	-19.650	-10.222	81.587	-91.855	-10.268			1.210	126.741	16.649	-33.278	-16.630	88.783	-105.310	-16.527
2.124	127.224	145.925	-147.051	-1.126						2.554	120.441	185.349	-215.928	-30.580						2.445	124.367	157.361	-178.924	-21.564						1.200	169.937	1.505	-5.507	-4.002	5.464	-8.994	-3.530			1.238	135.182	35.860	-29.941	5.919	54.094	-47.925	6.168			1.217	131.232	15.445	-32.701	-17.256	74.083	-91.572	-17.565			1.233	130.063	16.805	-33.977	-17.172	75.699	-92.890	-17.191			1.219	129.026	9.437	-19.644	-10.206	81.611	-91.883	-10.272			1.210	126.693	16.761	-33.270	-16.509	88.875	-105.416	-16.542
2.068	127.947	141.120	-140.947	0.173						2.553	120.451	185.320	-215.897	-30.577						2.445	124.358	157.370	-178.797	-21.427						1.200	169.969	1.507	-5.513	-4.006	5.458	-8.985	-3.527			1.238	135.117	36.146	-30.079	6.067	54.166	-47.887	6.280			1.217	131.224	15.432	-32.701	-17.269	74.118	-91.566	-17.524			1.233	130.053	16.752	-33.915	-17.162	75.590	-92.778	-17.188			1.219	129.083	9.430	-19.617	-10.187	81.487	-91.731	-10.244			1.210	126.645	16.733	-33.238	-16.505	88.920	-105.436	-16.516
2.013	128.735	135.873	-134.448	1.425						2.552	120.494	184.998	-215.692	-30.694						2.443	124.417	157.058	-178.353	-21.295						1.200	169.996	1.522	-5.525	-4.003	5.456	-8.973	-3.517			1.239	135.067	36.395	-30.199	6.196	54.244	-47.830	6.415			1.217	131.230	15.425	-32.698	-17.272	74.092	-91.555	-17.539			1.233	130.060	16.749	-33.900	-17.151	75.580	-92.755	-17.175			1.220	129.097	9.408	-19.578	-10.170	81.437	-91.692	-10.254			1.210	126.606	16.780	-33.333	-16.552	89.026	-105.549	-16.523
1.959	129.557	130.370	-127.846	2.525						2.551	120.549	184.852	-215.496	-30.645						2.443	124.254	157.455	-178.697	-21.242						1.200	170.015	1.591	-5.522	-3.930	5.493	-8.957	-3.465			1.239	135.021	36.634	-30.286	6.348	54.308	-47.770	6.537			1.217	131.184	15.439	-32.677	-17.238	74.192	-91.634	-17.518			1.233	130.052	16.729	-33.871	-17.142	75.602	-92.764	-17.162			1.220	129.111	9.362	-19.505	-10.143	81.381	-91.622	-10.240			1.210	126.610	16.714	-33.266	-16.552	89.046	-105.562	-16.516
