job_id	B 16 17	A 15 13 14	C	O	O	H	B	H	H
73	1.199	174.448	1.076	-0.474	-0.505	-0.089	0.119	-0.069	-0.078
74	1.199	174.523	1.075	-0.476	-0.506	-0.090	0.129	-0.070	-0.080
75	1.199	174.593	1.073	-0.478	-0.508	-0.091	0.138	-0.071	-0.081
76	1.198	174.659	1.071	-0.480	-0.510	-0.092	0.147	-0.072	-0.082
77	1.198	174.714	1.069	-0.481	-0.511	-0.093	0.156	-0.074	-0.084
78	1.198	174.757	1.068	-0.483	-0.513	-0.094	0.164	-0.075	-0.085
79	1.198	174.798	1.067	-0.484	-0.514	-0.094	0.171	-0.076	-0.086
80	1.197	174.846	1.065	-0.485	-0.515	-0.095	0.177	-0.077	-0.087
81	1.197	174.871	1.065	-0.486	-0.516	-0.095	0.182	-0.078	-0.088
82	1.197	174.888	1.064	-0.487	-0.517	-0.096	0.186	-0.078	-0.089
83	1.197	174.899	1.063	-0.487	-0.517	-0.096	0.191	-0.079	-0.090
84	1.197	174.91	1.062	-0.488	-0.518	-0.097	0.195	-0.080	-0.090
85	1.197	174.918	1.062	-0.488	-0.519	-0.097	0.197	-0.080	-0.091
86	1.197	174.916	1.062	-0.488	-0.519	-0.097	0.199	-0.080	-0.091
87	1.197	174.909	1.062	-0.488	-0.519	-0.098	0.200	-0.080	-0.092
88	1.197	174.894	1.062	-0.488	-0.520	-0.098	0.201	-0.081	-0.092
89	1.197	174.873	1.062	-0.488	-0.520	-0.098	0.201	-0.081	-0.092
90	1.197	174.848	1.062	-0.488	-0.520	-0.097	0.200	-0.080	-0.092
91	1.197	174.821	1.062	-0.488	-0.520	-0.097	0.200	-0.080	-0.092
92	1.197	174.795	1.063	-0.488	-0.520	-0.097	0.199	-0.080	-0.092
93	1.197	174.795	1.063	-0.488	-0.520	-0.097	0.199	-0.080	-0.092
