job_id	B 3 4	A 2 0 1	C	O	O	H	B	H	H
33	2.349	124.98	0.636	-0.523	-0.697	0.091	0.718	-0.113	-0.113
34	2.379	124.814	0.637	-0.523	-0.698	0.092	0.719	-0.113	-0.113
35	2.409	124.663	0.638	-0.524	-0.698	0.092	0.719	-0.114	-0.114
36	2.438	124.524	0.639	-0.524	-0.699	0.093	0.718	-0.114	-0.114
37	2.467	124.397	0.640	-0.524	-0.699	0.094	0.718	-0.114	-0.114
38	2.496	124.281	0.641	-0.525	-0.699	0.095	0.716	-0.114	-0.114
39	2.525	124.173	0.642	-0.525	-0.699	0.096	0.715	-0.114	-0.114
40	2.553	124.074	0.643	-0.525	-0.700	0.097	0.713	-0.114	-0.114
41	2.581	123.983	0.644	-0.525	-0.699	0.098	0.711	-0.114	-0.114
42	2.609	123.9	0.645	-0.526	-0.699	0.099	0.709	-0.114	-0.114
43	2.637	123.823	0.646	-0.526	-0.699	0.100	0.707	-0.114	-0.114
44	2.664	123.752	0.647	-0.526	-0.699	0.101	0.704	-0.114	-0.114
45	2.691	123.687	0.648	-0.526	-0.699	0.102	0.701	-0.113	-0.113
46	2.717	123.628	0.648	-0.526	-0.698	0.103	0.699	-0.113	-0.113
47	2.743	123.575	0.649	-0.526	-0.698	0.104	0.696	-0.113	-0.113
48	2.769	123.529	0.650	-0.527	-0.697	0.105	0.693	-0.112	-0.112
49	2.794	123.488	0.651	-0.527	-0.697	0.106	0.690	-0.112	-0.112
50	2.819	123.459	0.651	-0.527	-0.696	0.107	0.687	-0.111	-0.111
51	2.843	123.427	0.652	-0.527	-0.696	0.108	0.684	-0.111	-0.111
52	2.867	123.408	0.653	-0.527	-0.695	0.109	0.681	-0.110	-0.110
53	2.884	123.399	0.653	-0.527	-0.695	0.110	0.679	-0.110	-0.109
54	2.89	123.384	0.653	-0.527	-0.695	0.110	0.677	-0.110	-0.108
55	2.892	123.33	0.654	-0.526	-0.695	0.110	0.676	-0.110	-0.108
56	2.891	123.263	0.654	-0.525	-0.695	0.110	0.675	-0.111	-0.107
57	2.889	123.175	0.654	-0.524	-0.695	0.110	0.673	-0.111	-0.107
58	2.885	123.073	0.654	-0.523	-0.695	0.110	0.671	-0.111	-0.106
59	2.88	122.955	0.654	-0.522	-0.695	0.110	0.669	-0.111	-0.105
60	2.874	122.826	0.654	-0.520	-0.695	0.110	0.667	-0.112	-0.104
61	2.867	122.685	0.655	-0.518	-0.695	0.110	0.665	-0.112	-0.104
62	2.858	122.542	0.655	-0.516	-0.695	0.110	0.662	-0.112	-0.103
63	2.849	122.392	0.655	-0.515	-0.695	0.109	0.660	-0.112	-0.102
64	2.837	122.249	0.655	-0.513	-0.695	0.109	0.657	-0.112	-0.101
65	2.825	122.097	0.655	-0.511	-0.695	0.109	0.654	-0.112	-0.100
66	2.81	121.969	0.655	-0.509	-0.694	0.109	0.651	-0.113	-0.099
67	2.795	121.827	0.655	-0.508	-0.694	0.110	0.649	-0.113	-0.098
68	2.777	121.729	0.655	-0.507	-0.693	0.109	0.645	-0.113	-0.097
69	2.759	121.635	0.654	-0.505	-0.692	0.110	0.643	-0.113	-0.096
70	2.742	121.52	0.654	-0.504	-0.691	0.110	0.641	-0.113	-0.096
71	2.718	121.5	0.654	-0.503	-0.690	0.110	0.637	-0.114	-0.094
72	2.698	121.441	0.653	-0.503	-0.689	0.110	0.636	-0.113	-0.094
73	2.673	121.451	0.653	-0.502	-0.688	0.110	0.633	-0.114	-0.092
74	2.65	121.436	0.652	-0.501	-0.686	0.110	0.632	-0.114	-0.092
75	2.623	121.532	0.651	-0.501	-0.685	0.110	0.630	-0.114	-0.091
76	2.597	121.61	0.650	-0.501	-0.683	0.110	0.628	-0.114	-0.091
77	2.57	121.735	0.649	-0.501	-0.681	0.110	0.627	-0.114	-0.090
78	2.545	121.878	0.648	-0.501	-0.680	0.110	0.626	-0.114	-0.090
79	2.526	122.005	0.648	-0.501	-0.679	0.110	0.626	-0.114	-0.089
80	2.515	122.08	0.647	-0.501	-0.678	0.110	0.626	-0.114	-0.089
81	2.509	122.109	0.647	-0.501	-0.678	0.110	0.626	-0.114	-0.089
82	2.506	122.117	0.647	-0.501	-0.678	0.110	0.626	-0.114	-0.089
83	2.504	122.116	0.647	-0.501	-0.678	0.109	0.626	-0.114	-0.089
84	2.503	122.11	0.647	-0.501	-0.678	0.109	0.627	-0.114	-0.089
85	2.501	122.2	0.647	-0.501	-0.678	0.109	0.626	-0.114	-0.089
